"","1Q.A","2Q.A","3Q.A","4Q.A","F.A","2POINTSFGM.A","2POINTSFGA.A","2POINTSFGR.A","3POINTSFGM.A","3POINTSFGA.A","3POINTSFGR.A","FREE-THROWSM.A","FREE-THROWSA.A","FREE-THROWSR.A","OFFENSIVEREBOUNDS.A","DEFENSIVEREBOUNDS.A","TOTALREBOUNDS.A","ASSIST.A","TURNOVER.A","STEALS.A","BLOCKS.A","FOULS.A","FASTBREAKPOINTS.A","BIGGESTLEAD.A","POINTSINTHEPAINT.A","POINTSFROMTURNOVER.A","SECONDCHANCEPOINTS.A","BIGGESTSCORINGRUN.A","1Q.B","2Q.B","3Q.B","4Q.B","F.B","2POINTSFGM.B","2POINTSFGA.B","2POINTSFGR.B","3POINTSFGM.B","3POINTSFGA.B","3POINTSFGR.B","FREE-THROWSM.B","FREE-THROWSA.B","FREE-THROWSR.B","OFFENSIVEREBOUNDS.B","DEFENSIVEREBOUNDS.B","TOTALREBOUNDS.B","ASSIST.B","TURNOVER.B","STEALS.B","BLOCKS.B","FOULS.B","FASTBREAKPOINTS.B","BIGGESTLEAD.B","POINTSINTHEPAINT.B","POINTSFROMTURNOVER.B","SECONDCHANCEPOINTS.B","BIGGESTSCORINGRUN.B","GAMEIDX","DATE","SHEDULEKEY","TEAM.A","TEAM.B","ISHOME.A","ISHOME.B","EX1.A","EX1.B","EX2.A","EX2.B","EX3.A","EX3.B"
"11","15","18","21","25","79","19","45","42.2%","5","10","50%","26","31","83.9%","8","27","35","20","11","3","4","17","3","12","30","15","8","8-0(59-70)","21","13","15","18","67","21","43","48.8%","4","16","25%","13","18","72.2%","7","23","30","17","13","6","0","22","8","9","36","12","4","6-0(30-21)",2,"9.30","3529","êÂë‰","ïüìá",FALSE,TRUE,0,0,0,0,0,0
"12","24","24","23","27","98","30","45","66.7%","6","13","46.2%","20","30","66.7%","10","28","38","24","9","6","2","18","11","28","52","15","10","9-0(13-3)","14","22","17","17","70","20","45","44.4%","7","17","41.2%","9","16","56.3%","11","16","27","18","11","3","4","25","4","0","20","9","13","6-0(37-25)",3,"10.05","3544","êÂë‰","êºã{",TRUE,FALSE,0,0,0,0,0,0
"13","14","21","17","22","74","24","40","60%","4","20","20%","14","20","70%","13","36","49","20","23","7","2","22","13","14","40","11","10","7-0(16-16)","16","17","12","28","73","20","45","44.4%","5","20","25%","18","23","78.3%","6","22","28","15","10","11","4","19","9","8","14","19","6","10-0(68-64)",4,"10.06","3545","êÂë‰","êºã{",TRUE,FALSE,0,0,0,0,0,0
"14","23","11","21","17","85","18","36","50%","11","28","39.3%","16","23","69.6%","11","28","39","19","17","5","1","17","6","9","32","14","11","11-0(58-53)","20","14","19","19","80","28","61","45.9%","5","12","41.7%","9","15","60%","13","25","38","15","13","8","3","22","12","6","42","12","13","6-0(17-16)",5,"10.13","3562","êÂë‰","åQîn",TRUE,FALSE,13,8,0,0,0,0
"15","14","19","11","4","48","14","39","35.9%","5","18","27.8%","5","7","71.4%","8","31","39","14","16","4","2","21","3","0","22","7","5","10-0(33-35)","19","16","23","12","70","20","51","39.2%","5","14","35.7%","15","24","62.5%","15","30","45","18","8","9","1","12","10","24","28","12","17","14-0(35-53)",6,"10.14","3563","êÂë‰","åQîn",TRUE,FALSE,0,0,0,0,0,0
"16","20","17","19","15","71","27","47","57.4%","3","17","17.6%","8","13","61.5%","12","27","39","20","11","8","4","19","7","5","46","13","15","8-0(51-54)","28","13","15","13","69","20","42","47.6%","7","17","41.2%","8","15","53.3%","7","24","31","17","10","5","2","17","5","10","28","10","4","6-0(28-18)",7,"10.20","3588","êÂë‰","ã‡ëÚ",FALSE,TRUE,0,0,0,0,0,0
"17","13","23","15","25","76","16","38","42.1%","7","23","30.4%","23","27","85.2%","9","27","36","22","7","5","2","16","7","13","26","10","7","8-0(15-18)","15","10","18","23","66","19","40","47.5%","5","19","26.3%","13","15","86.7%","9","28","37","18","12","4","0","25","2","7","26","4","3","8-0(33-36)",8,"10.21","3589","êÂë‰","ã‡ëÚ",FALSE,TRUE,0,0,0,0,0,0
"18","29","22","24","17","92","29","41","70.7%","8","27","29.6%","10","17","58.8%","16","26","42","30","10","10","4","11","13","32","50","19","15","10-0(90-58)","18","20","11","15","64","20","39","51.3%","7","22","31.8%","3","3","100%","7","20","27","17","13","7","1","13","5","5","24","12","8","8-0(43-33)",9,"10.24","3598","êÂë‰","ê¬êX",TRUE,FALSE,0,0,0,0,0,0
"19","20","13","28","19","97","27","47","57.4%","9","20","45%","16","25","64%","13","31","44","29","14","3","1","15","10","8","24","10","14","9-0(70-63)","24","28","18","10","89","26","55","47.3%","8","27","29.6%","13","16","81.3%","16","22","38","22","7","9","5","24","4","22","44","19","19","10-0(36-25)",1,"9.29","3532","éRå`","åQîn",FALSE,TRUE,17,9,0,0,0,0
"20","24","18","16","21","79","19","39","48.7%","12","26","46.2%","5","8","62.5%","10","27","37","23","14","4","0","21","15","12","30","9","11","7-0(27-37)","20","18","17","28","83","27","48","56.3%","4","18","22.2%","17","20","85%","8","25","33","13","9","11","1","15","7","8","42","15","2","9-0(40-42)",2,"9.30","3533","éRå`","åQîn",FALSE,TRUE,0,0,0,0,0,0
"21","13","15","17","8","53","17","56","30.4%","6","18","33.3%","1","2","50%","16","23","39","17","20","5","0","11","6","4","22","2","9","7-0(24-33)","21","17","29","28","95","34","53","64.2%","8","19","42.1%","3","7","42.9%","8","32","40","36","7","11","8","13","12","42","62","25","9","11-0(28-47)",3,"10.06","3546","éRå`","ìáç™",TRUE,FALSE,0,0,0,0,0,0
"22","20","13","21","14","68","22","51","43.1%","5","16","31.3%","9","15","60%","15","24","39","13","14","4","4","15","12","10","36","16","11","9-0(46-49)","15","24","17","17","73","25","58","43.1%","4","13","30.8%","11","14","78.6%","17","28","45","20","15","8","4","19","6","12","40","13","19","10-0(25-29)",4,"10.07","3547","éRå`","ìáç™",TRUE,FALSE,0,0,0,0,0,0
"23","9","20","27","24","80","22","45","48.9%","6","21","28.6%","18","27","66.7%","14","24","38","27","11","9","8","13","12","4","40","15","12","10-0(62-69)","29","22","18","21","90","24","42","57.1%","11","24","45.8%","9","14","64.3%","9","32","41","18","13","7","2","24","10","31","40","18","3","19-0(4-19)",5,"10.13","3564","éRå`","ê¬êX",TRUE,FALSE,0,0,0,0,0,0
"24","15","14","25","23","95","23","49","46.9%","8","22","36.4%","25","33","75.8%","11","35","46","20","19","5","3","19","9","5","30","22","4","16-0(75-72)","21","22","20","14","93","28","56","50%","9","31","29%","10","16","62.5%","16","30","46","21","14","10","4","27","15","17","48","18","17","13-0(15-31)",6,"10.14","3565","éRå`","ê¬êX",TRUE,FALSE,10,10,8,6,0,0
"25","15","19","22","17","73","20","48","41.7%","8","28","28.6%","9","11","81.8%","16","33","49","18","9","6","3","11","2","20","32","14","17","10-0(51-70)","9","13","21","12","55","16","40","40%","6","23","26.1%","5","9","55.6%","8","32","40","11","15","4","3","13","3","1","24","11","6","8-0(22-34)",7,"10.20","3584","éRå`","àÔèÈ",FALSE,TRUE,0,0,0,0,0,0
"26","15","25","19","26","85","20","42","47.6%","12","23","52.2%","9","16","56.3%","10","31","41","26","10","3","2","11","10","18","28","6","10","14-0(60-75)","16","19","21","22","78","26","52","50%","7","25","28%","5","7","71.4%","12","27","39","18","4","4","3","16","2","7","38","15","12","10-0(12-5)",8,"10.21","3585","éRå`","àÔèÈ",FALSE,TRUE,0,0,0,0,0,0
"27","24","12","15","23","74","17","35","48.6%","9","27","33.3%","13","18","72.2%","9","21","30","18","12","4","2","21","11","10","26","9","11","6-0(32-22)","19","21","25","26","91","22","46","47.8%","9","19","47.4%","20","23","87%","13","29","42","24","8","7","4","16","7","23","30","23","17","16-0(36-47)",9,"10.24","3599","éRå`","åQîn",TRUE,FALSE,0,0,0,0,0,0
"28","20","24","18","17","79","21","43","48.8%","8","20","40%","13","22","59.1%","10","28","38","16","14","8","4","16","13","19","38","15","13","11-0(59-40)","13","14","21","24","72","24","45","53.3%","3","11","27.3%","15","26","57.7%","7","28","35","16","15","10","2","24","17","3","44","20","0","15-0(66-64)",1,"9.29","3528","ïüìá","êÂë‰",TRUE,FALSE,0,0,0,0,0,0
"29","21","13","15","18","67","21","43","48.8%","4","16","25%","13","18","72.2%","7","23","30","17","13","6","0","22","8","9","36","12","4","6-0(30-21)","15","18","21","25","79","19","45","42.2%","5","10","50%","26","31","83.9%","8","27","35","20","11","3","4","17","3","12","30","15","8","8-0(59-70)",2,"9.30","3529","ïüìá","êÂë‰",TRUE,FALSE,0,0,0,0,0,0
"30","13","14","22","11","60","21","44","47.7%","4","25","16%","6","9","66.7%","13","25","38","18","13","7","1","17","11","0","28","9","4","9-0(72-60)","18","17","26","12","73","21","40","52.5%","8","20","40%","7","15","46.7%","6","32","38","19","13","4","1","18","2","21","32","8","4","8-0(61-47)",3,"10.06","3558","ïüìá","çÅêÏ",FALSE,TRUE,0,0,0,0,0,0
"31","25","19","20","21","85","27","47","57.4%","7","19","36.8%","10","13","76.9%","12","29","41","20","13","5","2","26","16","25","48","19","14","14-0(23-44)","16","7","21","25","69","15","31","48.4%","5","21","23.8%","24","36","66.7%","7","19","26","14","12","4","0","16","12","2","24","14","6","7-0(12-10)",4,"10.07","3559","ïüìá","çÅêÏ",FALSE,TRUE,0,0,0,0,0,0
"32","20","12","25","24","81","21","50","42%","10","25","40%","9","12","75%","13","30","43","23","12","4","4","22","15","5","34","9","16","9-0(55-46)","21","16","24","22","83","32","63","50.8%","2","11","18.2%","13","17","76.5%","13","33","46","13","10","8","5","16","6","21","52","9","16","20-0(53-32)",5,"10.12","3568","ïüìá","î™â§éq",FALSE,TRUE,0,0,0,0,0,0
"33","22","23","27","20","92","25","35","71.4%","7","22","31.8%","21","28","75%","11","27","38","28","14","4","1","22","8","16","46","10","13","9-0(14-15)","23","22","14","18","77","22","49","44.9%","4","14","28.6%","21","23","91.3%","11","15","26","22","9","4","0","27","0","10","36","14","10","12-0(12-2)",6,"10.13","3569","ïüìá","î™â§éq",FALSE,TRUE,0,0,0,0,0,0
"34","22","19","13","23","77","23","45","51.1%","6","16","37.5%","13","17","76.5%","8","23","31","23","18","6","2","22","8","10","26","11","11","6-0(32-24)","19","17","19","27","82","22","45","48.9%","7","14","50%","17","26","65.4%","10","25","35","15","15","11","4","17","11","8","32","16","15","7-0(36-33)",7,"10.20","3582","ïüìá","çLìá",TRUE,FALSE,0,0,0,0,0,0
"35","14","20","17","22","73","26","47","55.3%","2","17","11.8%","15","21","71.4%","10","21","31","19","14","8","3","21","7","4","46","19","11","12-0(26-22)","20","18","27","19","84","27","55","49.1%","4","10","40%","18","22","81.8%","12","28","40","22","15","14","5","24","18","17","44","13","16","13-0(44-59)",8,"10.21","3583","ïüìá","çLìá",TRUE,FALSE,0,0,0,0,0,0
"36","17","17","10","15","59","24","52","46.2%","1","10","10%","8","12","66.7%","12","26","38","15","13","4","1","17","7","9","36","8","10","10-0(24-29)","12","13","23","17","65","25","49","51%","2","15","13.3%","9","12","75%","11","27","38","17","11","5","2","18","8","9","46","14","10","10-0(24-19)",9,"10.24","3600","ïüìá","àÔèÈ",FALSE,TRUE,0,0,0,0,0,0
"37","21","16","12","22","71","23","38","60.5%","2","11","18.2%","19","26","73.1%","4","36","40","22","14","4","3","12","6","12","38","6","6","7-0(16-7)","16","12","21","21","70","20","42","47.6%","9","28","32.1%","3","5","60%","5","23","28","22","6","7","2","22","8","2","28","13","7","9-0(49-49)",1,"9.29","3530","àÔèÈ","êºã{",TRUE,FALSE,0,0,0,0,0,0
"38","23","25","17","20","85","26","45","57.8%","6","19","31.6%","15","20","75%","13","28","41","26","12","9","4","15","17","27","46","22","10","14-0(23-8)","9","17","19","17","62","25","51","49%","2","13","15.4%","6","12","50%","12","22","34","14","15","7","1","20","12","0","40","13","10","7-0(65-47)",2,"9.30","3531","àÔèÈ","êºã{",TRUE,FALSE,0,0,0,0,0,0
"39","17","22","21","30","90","18","34","52.9%","11","27","40.7%","21","28","75%","12","31","43","24","12","7","4","13","10","30","30","18","12","12-0(53-31)","15","14","11","20","60","20","42","47.6%","4","23","17.4%","8","10","80%","11","24","35","12","15","6","1","22","7","2","30","6","12","6-0(21-21)",3,"10.06","3548","àÔèÈ","ã‡ëÚ",TRUE,FALSE,0,0,0,0,0,0
"40","12","11","27","25","75","22","41","53.7%","6","25","24%","13","20","65%","12","28","40","20","12","10","3","15","20","13","42","17","15","11-0(34-32)","13","19","11","21","64","26","46","56.5%","1","19","5.3%","9","10","90%","10","26","36","18","15","6","1","20","9","9","42","12","12","11-0(19-28)",4,"10.07","3549","àÔèÈ","ã‡ëÚ",TRUE,FALSE,0,0,0,0,0,0
"41","13","23","18","21","75","20","39","51.3%","7","30","23.3%","14","19","73.7%","11","33","44","20","11","1","3","14","8","1","32","6","8","6-0(34-34)","20","16","21","20","77","28","50","56%","3","22","13.6%","12","13","92.3%","7","33","40","24","7","7","2","19","10","9","48","16","3","9-0(49-41)",5,"10.13","3578","àÔèÈ","à§ïQ",FALSE,TRUE,0,0,0,0,0,0
"42","17","19","26","26","88","26","48","54.2%","9","24","37.5%","9","13","69.2%","12","30","42","23","10","5","1","11","20","6","46","6","7","8-0(26-22)","26","10","24","22","82","26","46","56.5%","7","26","26.9%","9","11","81.8%","9","28","37","25","8","2","0","18","17","12","46","6","7","6-0(6-2)",6,"10.14","3579","àÔèÈ","à§ïQ",FALSE,TRUE,0,0,0,0,0,0
"43","9","13","21","12","55","16","40","40%","6","23","26.1%","5","9","55.6%","8","32","40","11","15","4","3","13","3","1","24","11","6","8-0(22-34)","15","19","22","17","73","20","48","41.7%","8","28","28.6%","9","11","81.8%","16","33","49","18","9","6","3","11","2","20","32","14","17","10-0(51-70)",7,"10.20","3584","àÔèÈ","éRå`",TRUE,FALSE,0,0,0,0,0,0
"44","16","19","21","22","78","26","52","50%","7","25","28%","5","7","71.4%","12","27","39","18","4","4","3","16","2","7","38","15","12","10-0(12-5)","15","25","19","26","85","20","42","47.6%","12","23","52.2%","9","16","56.3%","10","31","41","26","10","3","2","11","10","18","28","6","10","14-0(60-75)",8,"10.21","3585","àÔèÈ","éRå`",TRUE,FALSE,0,0,0,0,0,0
"45","12","13","23","17","65","25","49","51%","2","15","13.3%","9","12","75%","11","27","38","17","11","5","2","18","8","9","46","14","10","10-0(24-19)","17","17","10","15","59","24","52","46.2%","1","10","10%","8","12","66.7%","12","26","38","15","13","4","1","17","7","9","36","8","10","10-0(24-29)",9,"10.24","3600","àÔèÈ","ïüìá",TRUE,FALSE,0,0,0,0,0,0
"46","24","28","18","10","89","26","55","47.3%","8","27","29.6%","13","16","81.3%","16","22","38","22","7","9","5","24","4","22","44","19","19","10-0(36-25)","20","13","28","19","97","27","47","57.4%","9","20","45%","16","25","64%","13","31","44","29","14","3","1","15","10","8","24","10","14","9-0(70-63)",1,"9.29","3532","åQîn","éRå`",TRUE,FALSE,9,17,0,0,0,0
"47","20","18","17","28","83","27","48","56.3%","4","18","22.2%","17","20","85%","8","25","33","13","9","11","1","15","7","8","42","15","2","9-0(40-42)","24","18","16","21","79","19","39","48.7%","12","26","46.2%","5","8","62.5%","10","27","37","23","14","4","0","21","15","12","30","9","11","7-0(27-37)",2,"9.30","3533","åQîn","éRå`",TRUE,FALSE,0,0,0,0,0,0
"48","16","26","17","17","76","17","35","48.6%","9","24","37.5%","15","18","83.3%","11","31","42","27","14","6","3","15","3","18","22","16","7","14-0(22-30)","22","10","18","18","68","14","37","37.8%","11","28","39.3%","7","10","70%","10","22","32","23","12","7","3","19","8","8","24","11","6","9-0(22-16)",3,"10.05","3550","åQîn","ìåãûZ",FALSE,TRUE,0,0,0,0,0,0
"49","21","22","25","13","81","17","41","41.5%","12","27","44.4%","11","16","68.8%","19","19","38","20","11","13","0","16","4","18","24","19","16","6-0(10-11)","19","15","21","11","66","14","26","53.8%","9","25","36%","11","18","61.1%","10","22","32","24","17","3","2","20","0","5","20","21","11","8-0(8-3)",4,"10.06","3551","åQîn","ìåãûZ",FALSE,TRUE,0,0,0,0,0,0
"50","20","14","19","19","80","28","61","45.9%","5","12","41.7%","9","15","60%","13","25","38","15","13","8","3","22","12","6","42","12","13","6-0(17-16)","23","11","21","17","85","18","36","50%","11","28","39.3%","16","23","69.6%","11","28","39","19","17","5","1","17","6","9","32","14","11","11-0(58-53)",5,"10.13","3562","åQîn","êÂë‰",FALSE,TRUE,8,13,0,0,0,0
"51","19","16","23","12","70","20","51","39.2%","5","14","35.7%","15","24","62.5%","15","30","45","18","8","9","1","12","10","24","28","12","17","14-0(35-53)","14","19","11","4","48","14","39","35.9%","5","18","27.8%","5","7","71.4%","8","31","39","14","16","4","2","21","3","0","22","7","5","10-0(33-35)",6,"10.14","3563","åQîn","êÂë‰",FALSE,TRUE,0,0,0,0,0,0
"52","11","13","33","15","72","22","54","40.7%","4","19","21.1%","16","17","94.1%","21","25","46","16","12","5","3","20","0","4","32","5","21","6-0(11-7)","15","20","27","18","80","14","29","48.3%","11","31","35.5%","19","21","90.5%","9","25","34","25","10","7","6","18","9","16","16","11","7","12-0(11-19)",7,"10.19","3586","åQîn","êMèB",TRUE,FALSE,0,0,0,0,0,0
"53","20","17","16","21","74","29","59","49.2%","2","11","18.2%","10","12","83.3%","13","23","36","20","8","6","4","20","2","5","36","17","9","5-0(48-58)","19","24","24","21","88","19","36","52.8%","13","27","48.1%","11","16","68.8%","12","27","39","19","11","5","3","15","4","18","32","7","16","7-0(43-58)",8,"10.20","3587","åQîn","êMèB",TRUE,FALSE,0,0,0,0,0,0
"54","19","21","25","26","91","22","46","47.8%","9","19","47.4%","20","23","87%","13","29","42","24","8","7","4","16","7","23","30","23","17","16-0(36-47)","24","12","15","23","74","17","35","48.6%","9","27","33.3%","13","18","72.2%","9","21","30","18","12","4","2","21","11","10","26","9","11","6-0(32-22)",9,"10.24","3599","åQîn","éRå`",FALSE,TRUE,0,0,0,0,0,0
"55","24","26","16","21","87","27","50","54%","9","22","40.9%","6","14","42.9%","13","25","38","25","9","9","5","23","14","29","40","21","13","11-0(17-42)","15","11","21","16","63","17","40","42.5%","5","22","22.7%","14","20","70%","16","26","42","14","19","6","0","22","4","3","26","6","13","8-0(39-59)",1,"9.28","3534","ìåãûZ","î™â§éq",FALSE,TRUE,0,0,0,0,0,0
"56","23","14","22","21","80","25","46","54.3%","5","21","23.8%","15","20","75%","14","32","46","23","15","6","5","20","11","12","32","10","13","14-0(4-16)","18","23","17","17","75","21","47","44.7%","8","22","36.4%","9","18","50%","11","23","34","17","10","9","1","22","15","10","30","17","7","8-0(12-16)",2,"9.29","3535","ìåãûZ","î™â§éq",FALSE,TRUE,0,0,0,0,0,0
"57","22","10","18","18","68","14","37","37.8%","11","28","39.3%","7","10","70%","10","22","32","23","12","7","3","19","8","8","24","11","6","9-0(22-16)","16","26","17","17","76","17","35","48.6%","9","24","37.5%","15","18","83.3%","11","31","42","27","14","6","3","15","3","18","22","16","7","14-0(22-30)",3,"10.05","3550","ìåãûZ","åQîn",TRUE,FALSE,0,0,0,0,0,0
"58","19","15","21","11","66","14","26","53.8%","9","25","36%","11","18","61.1%","10","22","32","24","17","3","2","20","0","5","20","21","11","8-0(8-3)","21","22","25","13","81","17","41","41.5%","12","27","44.4%","11","16","68.8%","19","19","38","20","11","13","0","16","4","18","24","19","16","6-0(10-11)",4,"10.06","3551","ìåãûZ","åQîn",TRUE,FALSE,0,0,0,0,0,0
"59","28","19","18","18","83","19","47","40.4%","12","22","54.5%","9","12","75%","11","22","33","22","15","9","5","22","16","14","30","16","12","10-0(13-3)","14","23","31","26","94","17","37","45.9%","13","25","52%","21","24","87.5%","10","28","38","22","15","11","2","17","23","13","32","17","7","14-0(54-54)",5,"10.13","3566","ìåãûZ","FEñºå√âÆ",TRUE,FALSE,0,0,0,0,0,0
"60","23","14","20","24","81","23","46","50%","9","19","47.4%","8","14","57.1%","12","24","36","23","12","6","5","16","5","8","32","15","14","9-0(37-32)","21","15","22","21","79","18","34","52.9%","11","26","42.3%","10","13","76.9%","7","23","30","26","13","5","3","20","9","4","28","13","8","8-0(50-50)",6,"10.14","3567","ìåãûZ","FEñºå√âÆ",TRUE,FALSE,0,0,0,0,0,0
"61","17","19","22","19","77","22","46","47.8%","10","24","41.7%","3","5","60%","11","28","39","24","16","15","1","21","21","26","28","17","10","9-0(20-29)","15","9","14","18","56","18","38","47.4%","3","21","14.3%","11","19","57.9%","13","27","40","17","21","7","4","14","11","3","30","17","9","11-0(53-68)",7,"10.20","3592","ìåãûZ","ìﬁó«",FALSE,TRUE,0,0,0,0,0,0
"62","22","20","21","15","78","20","38","52.6%","6","18","33.3%","20","21","95.2%","8","29","37","21","12","7","3","9","12","17","34","19","5","13-0(12-26)","12","15","23","21","71","24","45","53.3%","7","20","35%","2","5","40%","7","22","29","20","10","12","3","15","10","2","30","15","6","6-0(20-30)",8,"10.21","3593","ìåãûZ","ìﬁó«",FALSE,TRUE,0,0,0,0,0,0
"63","20","20","19","25","84","26","55","47.3%","5","14","35.7%","17","21","81%","16","26","42","20","11","5","4","20","7","11","38","20","16","7-0(10-10)","17","14","29","18","78","11","31","35.5%","14","31","45.2%","14","18","77.8%","13","23","36","24","14","5","7","21","7","7","18","7","7","10-0(42-41)",9,"10.24","3601","ìåãûZ","êºã{",TRUE,FALSE,0,0,0,0,0,0
"64","15","11","21","16","63","17","40","42.5%","5","22","22.7%","14","20","70%","16","26","42","14","19","6","0","22","4","3","26","6","13","8-0(39-59)","24","26","16","21","87","27","50","54%","9","22","40.9%","6","14","42.9%","13","25","38","25","9","9","5","23","14","29","40","21","13","11-0(17-42)",1,"9.28","3534","î™â§éq","ìåãûZ",TRUE,FALSE,0,0,0,0,0,0
"65","18","23","17","17","75","21","47","44.7%","8","22","36.4%","9","18","50%","11","23","34","17","10","9","1","22","15","10","30","17","7","8-0(12-16)","23","14","22","21","80","25","46","54.3%","5","21","23.8%","15","20","75%","14","32","46","23","15","6","5","20","11","12","32","10","13","14-0(4-16)",2,"9.29","3535","î™â§éq","ìåãûZ",TRUE,FALSE,0,0,0,0,0,0
"66","18","16","23","24","81","23","43","53.5%","6","22","27.3%","17","24","70.8%","7","35","42","21","8","4","2","15","4","7","30","6","6","10-0(66-69)","18","21","25","12","76","25","49","51%","5","31","16.1%","11","16","68.8%","17","32","49","20","8","5","1","22","9","12","48","15","17","6-0(24-20)",3,"10.06","3554","î™â§éq","FEñºå√âÆ",FALSE,TRUE,0,0,0,0,0,0
