TEAM,NO,PLAYER,PO,G,GS,MIN,MINPG,PTS,PPG,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,RPG,AS,APG,TO,ST,BS,BSR,F,FD,EFF,ID,YEAR,LEAGUE
三遠,2,ロバート・ドジャー,PF,17,17,544:19,32:01,267,15.7,102,236,43.2%,24,72,33.3%,39,53,73.6%,35,134,169,9.9,42,2.5,45,10,15,4,50,55,18,18459,2018,1
大阪,55,ジョシュ・ハレルソン,PF/C,19,19,619:00,32:34,265,13.9,100,254,39.4%,34,104,32.7%,31,42,73.8%,43,177,220,11.6,41,2.2,35,19,33,9,33,35,20,12663,2018,1
横浜,12,ジャボン・マックレア,PF/C,13,13,375:08,28:51,257,19.8,108,205,52.7%,0,0,0.0%,41,72,56.9%,53,69,122,9.4,26,2.0,27,27,11,12,46,50,22,10886,2018,1
三遠,45,ウィリアム・マクドナルド,C,16,16,461:13,28:49,255,15.9,114,214,53.3%,1,4,25.0%,26,42,61.9%,48,104,152,9.5,29,1.8,47,9,3,11,59,43,18,8835,2018,1
琉球,12,ジェフ・エアーズ,PF,19,6,447:53,23:34,250,13.2,96,182,52.7%,27,70,38.6%,31,38,81.6%,21,113,134,7.1,28,1.5,21,9,15,1,35,41,17,9055,2018,1
栃木,4,ジェフ・ギブス,PF/C,18,18,503:55,27:59,246,13.7,84,178,47.2%,3,14,21.4%,75,96,78.1%,63,101,164,9.1,66,3.7,19,41,7,15,55,74,22,12585,2018,1
千葉,2,富樫 勇樹,PG,19,19,484:06,25:28,240,12.6,90,210,42.9%,38,102,37.3%,22,26,84.6%,13,26,39,2.1,99,5.2,31,12,0,7,18,31,12,18427,2018,1
滋賀,40,ディオール・フィッシャー,PF/C,19,19,641:02,33:44,235,12.4,100,189,52.9%,2,10,20.0%,33,39,84.6%,60,149,209,11.0,63,3.3,46,15,15,5,56,47,21,8645,2018,1
川崎,31,シェーン・エドワーズ,SF/PF,19,9,484:10,25:28,233,12.3,98,201,48.8%,12,42,28.6%,25,52,48.1%,24,64,88,4.6,33,1.7,29,14,13,10,43,51,12,18442,2018,1
新潟,7,五十嵐 圭,PG,19,19,647:17,34:04,225,11.8,77,188,41.0%,39,128,30.5%,32,41,78.0%,6,61,67,3.5,108,5.7,33,16,2,3,26,42,14,12459,2018,1
福岡,17,ベンジャミン・ローソン,C,16,16,525:54,32:52,224,14.0,83,171,48.5%,1,7,14.3%,57,80,71.3%,42,108,150,9.4,30,1.9,32,14,25,9,51,61,19,8596,2018,1
秋田,43,カディーム・コールビー,PF/C,18,18,517:10,28:43,224,12.4,91,164,55.5%,0,0,0.0%,42,64,65.6%,64,104,168,9.3,24,1.3,38,15,52,4,48,55,19,8463,2018,1
三河,32,桜木 ジェイアール,PF,19,19,558:51,29:24,223,11.7,94,194,48.5%,2,8,25.0%,33,46,71.7%,34,109,143,7.5,104,5.5,30,12,2,8,43,65,18,8593,2018,1
滋賀,32,狩野 祐介,SG,19,19,554:21,29:10,222,11.7,83,174,47.7%,42,97,43.3%,14,18,77.8%,8,21,29,1.5,41,2.2,11,17,0,5,27,21,11,8731,2018,1
千葉,21,ギャビン・エドワーズ,PF,18,18,462:56,25:43,219,12.2,82,156,52.6%,6,15,40.0%,49,78,62.8%,33,100,133,7.4,59,3.3,41,18,15,4,49,88,17,8503,2018,1
福岡,31,城宝 匡史,SG,19,13,524:39,27:36,219,11.5,76,177,42.9%,41,95,43.2%,26,34,76.5%,9,59,68,3.6,55,2.9,51,13,1,5,35,44,10,18168,2018,1
富山,11,宇都 直輝,PG,19,19,504:38,26:33,210,11.1,74,165,44.8%,2,9,22.2%,60,79,75.9%,14,42,56,2.9,101,5.3,35,25,1,16,37,68,13,8447,2018,1
横浜,8,アマンゼ・エゲケゼ,SF,15,15,504:05,33:36,208,13.9,75,180,41.7%,21,75,28.0%,37,46,80.4%,25,71,96,6.4,24,1.6,21,14,10,11,45,48,14,9400,2018,1
SR渋谷,9,ベンドラメ 礼生,PG,19,19,538:49,28:21,194,10.2,76,183,41.5%,23,65,35.4%,19,29,65.5%,15,22,37,1.9,80,4.2,43,14,0,6,37,39,9,12454,2018,1
大阪,10,ファイ・パプ月瑠,PF/C,19,9,476:51,25:05,192,10.1,73,142,51.4%,0,1,0.0%,46,83,55.4%,37,76,113,5.9,24,1.3,21,10,3,10,35,71,11,8449,2018,1
横浜,21,田渡 凌,PG,19,15,501:02,26:22,190,10.0,84,195,43.1%,9,31,29.0%,13,18,72.2%,16,35,51,2.7,79,4.2,24,18,1,4,16,26,10,8487,2018,1
富山,24,大塚 裕土,SG/SF,19,19,502:46,26:27,189,9.9,68,164,41.5%,32,91,35.2%,21,24,87.5%,8,24,32,1.7,21,1.1,17,9,0,3,28,21,7,8497,2018,1
川崎,14,辻 直人,SG,18,18,476:02,26:26,185,10.3,63,167,37.7%,26,91,28.6%,33,37,89.2%,5,28,33,1.8,58,3.2,17,11,0,9,24,36,9,8467,2018,1
栃木,9,遠藤 祐亮,PG/SG,16,13,377:08,23:34,184,11.5,71,139,51.1%,32,68,47.1%,10,17,58.8%,9,28,37,2.3,35,2.2,14,13,0,4,37,22,11,12577,2018,1
A東京,3,安藤 誓哉,PG,19,19,480:32,25:17,183,9.6,69,159,43.4%,25,62,40.3%,20,23,87.0%,13,21,34,1.8,57,3.0,16,8,0,11,34,28,9,8712,2018,1
A東京,6,馬場 雄大,SF,18,4,443:34,24:38,180,10.0,71,148,48.0%,8,27,29.6%,30,42,71.4%,10,60,70,3.9,53,2.9,21,20,6,9,20,41,12,8571,2018,1
横浜,0,細谷 将司,PG,19,5,429:11,22:35,175,9.2,62,145,42.8%,36,92,39.1%,15,18,83.3%,5,19,24,1.3,39,2.1,26,8,0,3,17,24,7,8500,2018,1
三遠,73,田渡 修人,SG,19,17,450:40,23:43,172,9.1,67,137,48.9%,33,79,41.8%,5,6,83.3%,0,25,25,1.3,45,2.4,16,14,0,2,21,10,9,8483,2018,1
琉球,51,古川 孝敏,SF,19,19,516:40,27:11,171,9.0,66,166,39.8%,24,71,33.8%,15,18,83.3%,6,43,49,2.6,22,1.2,15,16,6,8,37,30,8,8499,2018,1
京都,7,晴山 ケビン,SF,19,19,552:31,29:04,171,9.0,59,149,39.6%,37,103,35.9%,16,21,76.2%,20,59,79,4.2,21,1.1,15,11,1,3,40,18,9,10818,2018,1
栃木,13,渡邉 裕規,PG,19,13,484:34,25:30,168,8.8,59,157,37.6%,36,95,37.9%,14,16,87.5%,13,20,33,1.7,79,4.2,14,11,1,1,34,18,9,8516,2018,1
滋賀,24,高橋 耕陽,SG/SF,19,11,464:25,24:26,168,8.8,68,192,35.4%,16,72,22.2%,16,22,72.7%,14,28,42,2.2,46,2.4,40,17,3,11,41,29,6,9037,2018,1
名古屋D,12,中東 泰斗,SG,19,19,457:29,24:04,164,8.6,69,142,48.6%,16,43,37.2%,10,25,40.0%,22,47,69,3.6,52,2.7,25,24,3,7,35,32,10,8654,2018,1
A東京,24,田中 大貴,SG,16,16,431:24,26:57,163,10.2,69,158,43.7%,7,33,21.2%,18,23,78.3%,7,33,40,2.5,76,4.8,21,16,0,5,14,30,11,9489,2018,1
福岡,13,津山 尚大,PG,19,3,355:33,18:42,162,8.5,58,132,43.9%,26,72,36.1%,20,29,69.0%,8,24,32,1.7,38,2.0,22,10,0,2,26,25,7,8529,2018,1
琉球,3,並里 成,PG,19,19,466:53,24:34,160,8.4,66,151,43.7%,3,14,21.4%,25,31,80.6%,15,49,64,3.4,148,7.8,31,21,1,6,27,48,14,9062,2018,1
栃木,18,鵤 誠司,PG,19,13,483:37,25:27,157,8.3,60,177,33.9%,21,63,33.3%,16,26,61.5%,10,35,45,2.4,66,3.5,20,16,9,6,37,31,8,8655,2018,1
大阪,25,エグゼビア・ギブソン,PF/C,10,10,270:33,27:03,156,15.6,57,125,45.6%,8,18,44.4%,34,54,63.0%,15,55,70,7.0,22,2.2,32,13,14,4,29,50,16,10848,2018,1
琉球,14,岸本 隆一,PG/SG,19,5,391:16,20:35,154,8.1,54,145,37.2%,37,100,37.0%,9,11,81.8%,2,33,35,1.8,53,2.8,25,11,0,2,35,18,7,8507,2018,1
秋田,17,中山 拓哉,PG/SG,18,17,556:45,30:55,149,8.3,57,145,39.3%,7,21,33.3%,28,48,58.3%,36,53,89,4.9,91,5.1,57,48,3,6,50,56,12,8482,2018,1
北海道,8,多嶋 朝飛,PG,19,19,526:47,27:43,144,7.6,56,141,39.7%,19,56,33.9%,13,18,72.2%,8,38,46,2.4,96,5.1,25,17,0,4,45,35,10,8690,2018,1
川崎,0,藤井 祐眞,PG/SG,19,7,507:40,26:43,142,7.5,47,111,42.3%,12,44,27.3%,36,43,83.7%,11,32,43,2.3,74,3.9,26,30,3,2,39,79,10,8583,2018,1
大阪,20,合田 怜,PG/SG,19,6,419:00,22:03,142,7.5,47,107,43.9%,27,63,42.9%,21,28,75.0%,5,22,27,1.4,37,1.9,25,17,0,3,35,30,7,8727,2018,1
千葉,27,石井 講祐,SG,19,17,452:39,23:49,139,7.3,47,107,43.9%,29,61,47.5%,16,18,88.9%,7,34,41,2.2,47,2.5,17,27,2,2,34,29,9,8738,2018,1
三遠,5,川嶋 勇人,SG,19,2,415:46,21:52,139,7.3,55,118,46.6%,14,34,41.2%,15,20,75.0%,11,24,35,1.8,63,3.3,31,24,4,7,38,32,9,8756,2018,1
名古屋D,8,張本 天傑,SF/PF,19,0,353:31,18:36,138,7.3,39,96,40.6%,18,43,41.9%,42,63,66.7%,16,21,37,1.9,22,1.2,17,11,9,6,37,62,6,8729,2018,1
秋田,34,小野寺 祥太,PG,19,15,536:57,28:15,136,7.2,48,126,38.1%,15,52,28.8%,25,32,78.1%,12,33,45,2.4,75,3.9,53,21,0,7,52,49,7,9033,2018,1
京都,12,岡田　優介,SG,19,19,473:52,24:56,131,6.9,38,91,41.8%,35,83,42.2%,20,23,87.0%,3,24,27,1.4,24,1.3,13,7,1,0,40,21,6,8591,2018,1
A東京,15,竹内 譲次,PF/C,19,18,457:07,24:03,129,6.8,50,131,38.2%,13,48,27.1%,16,24,66.7%,33,101,134,7.1,19,1.0,21,13,16,13,40,27,11,8452,2018,1
三河,5,アイザック・バッツ,C,13,12,447:11,34:23,128,9.8,56,100,56.0%,0,0,0.0%,16,21,76.2%,65,102,167,12.8,38,2.9,17,9,8,9,34,24,22,8501,2018,1
琉球,33,アイラ・ブラウン,SF/PF,17,13,399:34,23:30,125,7.4,49,124,39.5%,18,48,37.5%,9,18,50.0%,22,70,92,5.4,39,2.3,25,18,8,4,35,40,10,10849,2018,1
富山,9,水戸 健史,SG,19,3,389:28,20:29,125,6.6,42,105,40.0%,18,46,39.1%,23,28,82.1%,9,30,39,2.1,42,2.2,10,13,4,4,30,21,8,8588,2018,1
京都,3,伊藤 達哉,PG,16,16,420:57,26:18,124,7.8,49,129,38.0%,7,23,30.4%,19,28,67.9%,6,39,45,2.8,78,4.9,33,25,0,6,17,44,9,8734,2018,1
新潟,3,柏木 真介,PG,16,16,416:38,26:02,119,7.4,43,105,41.0%,24,62,38.7%,9,12,75.0%,5,27,32,2.0,47,2.9,22,16,1,6,29,25,8,8726,2018,1
秋田,9,白濱 僚祐,SF,19,15,488:03,25:41,118,6.2,46,104,44.2%,10,33,30.3%,16,23,69.6%,10,41,51,2.7,43,2.3,27,18,3,8,54,23,7,8569,2018,1
栃木,10,竹内 公輔,PF/C,17,0,343:02,20:10,118,6.9,45,80,56.3%,1,2,50.0%,27,36,75.0%,35,51,86,5.1,16,0.9,8,3,17,5,18,32,11,8565,2018,1
滋賀,45,鹿野 洵生,SF,19,8,384:42,20:14,117,6.2,38,109,34.9%,23,80,28.8%,18,22,81.8%,10,36,46,2.4,26,1.4,18,4,0,2,28,21,5,8737,2018,1
三遠,8,太田 敦也,C,19,0,341:07,17:57,116,6.1,50,104,48.1%,0,1,0.0%,16,33,48.5%,15,57,72,3.8,19,1.0,18,7,3,15,35,45,7,8689,2018,1
富山,6,船生 誠也,SF,19,16,438:22,23:04,116,6.1,39,85,45.9%,9,32,28.1%,29,35,82.9%,17,27,44,2.3,37,1.9,16,15,2,10,40,27,8,12580,2018,1
大阪,17,木下 博之,PG/SG,17,3,318:32,18:44,115,6.8,46,93,49.5%,12,30,40.0%,11,14,78.6%,11,24,35,2.1,74,4.4,31,18,2,4,22,25,10,18430,2018,1
A東京,31,ジャワッド・ウィリアムズ,PF,12,1,262:03,21:50,115,9.6,43,104,41.3%,12,36,33.3%,17,22,77.3%,16,40,56,4.7,14,1.2,5,10,1,4,38,19,10,8643,2018,1
三河,33,グラント・ジェレット,PF,7,6,224:06,32:00,112,16.0,40,93,43.0%,21,42,50.0%,11,18,61.1%,10,52,62,8.9,12,1.7,5,8,5,5,15,14,19,8448,2018,1
大阪,32,畠山 俊樹,PG,19,16,390:47,20:34,112,5.9,44,92,47.8%,10,33,30.3%,14,18,77.8%,3,26,29,1.5,80,4.2,32,23,1,5,40,23,8,9031,2018,1
千葉,10,アキ・チェンバース,SF,19,10,390:54,20:34,108,5.7,41,86,47.7%,15,36,41.7%,11,20,55.0%,17,24,41,2.2,26,1.4,12,19,6,2,31,17,7,8656,2018,1
A東京,10,ザック・バランスキー,SF/PF,19,0,412:45,21:43,107,5.6,44,120,36.7%,14,58,24.1%,5,9,55.6%,9,47,56,2.9,23,1.2,16,14,0,4,40,17,5,8578,2018,1
琉球,24,田代 直希,SF,19,9,316:21,16:39,105,5.5,38,91,41.8%,13,36,36.1%,16,18,88.9%,9,30,39,2.1,26,1.4,15,7,1,8,36,14,6,8504,2018,1
富山,7,阿部 友和,PG,19,0,278:58,14:40,102,5.4,33,68,48.5%,14,30,46.7%,22,22,100.0%,5,15,20,1.1,44,2.3,29,30,1,3,17,29,7,8580,2018,1
栃木,30,山崎 稜,SG,19,2,307:14,16:10,101,5.3,40,100,40.0%,18,57,31.6%,3,4,75.0%,5,12,17,0.9,11,0.6,17,10,3,1,39,13,3,8498,2018,1
千葉,11,西村 文男,PG,18,2,319:58,17:46,100,5.6,37,84,44.0%,16,40,40.0%,10,13,76.9%,5,22,27,1.5,67,3.7,21,14,1,2,28,25,8,8509,2018,1
大阪,27,熊谷 尚也,SF/PF,14,11,339:48,24:16,100,7.1,36,109,33.0%,20,62,32.3%,8,15,53.3%,9,21,30,2.1,13,0.9,15,5,4,4,20,19,4,10850,2018,1
北海道,11,桜井 良太,SF,19,17,411:00,21:37,100,5.3,29,77,37.7%,10,26,38.5%,32,39,82.1%,9,29,38,2.0,39,2.1,27,15,1,3,63,44,6,8484,2018,1
北海道,1,関野 剛平,SG/SF,19,9,317:09,16:41,99,5.2,33,93,35.5%,19,57,33.3%,14,19,73.7%,8,21,29,1.5,14,0.7,13,16,0,3,23,25,4,10820,2018,1
川崎,7,篠山 竜青,PG,19,13,458:49,24:08,99,5.2,41,96,42.7%,6,34,17.6%,11,16,68.8%,3,32,35,1.8,58,3.1,24,13,1,4,32,27,6,8577,2018,1
SR渋谷,14,杉浦 佑成,SF,19,14,330:46,17:24,96,5.1,30,93,32.3%,22,65,33.8%,14,17,82.4%,2,21,23,1.2,18,0.9,18,6,2,1,32,13,3,8451,2018,1
三遠,6,長谷川 智伸,SG/SF,19,8,345:19,18:10,96,5.1,40,106,37.7%,15,46,32.6%,1,6,16.7%,5,21,26,1.4,30,1.6,19,13,2,7,37,27,4,9259,2018,1
大阪,3,藤高 宗一郎,SF,19,10,367:01,19:19,93,4.9,38,93,40.9%,3,14,21.4%,14,24,58.3%,15,16,31,1.6,15,0.8,18,11,3,9,19,25,4,10822,2018,1
横浜,32,エドワード・モリス,PF,19,9,495:11,26:03,92,4.8,38,90,42.2%,2,9,22.2%,14,29,48.3%,53,100,153,8.1,32,1.7,19,25,11,4,51,36,12,9310,2018,1
三河,46,生原 秀将,PG,19,19,441:35,23:14,91,4.8,34,91,37.4%,9,31,29.0%,14,21,66.7%,8,36,44,2.3,47,2.5,22,12,2,0,49,28,6,8513,2018,1
福岡,5,山下 泰弘,PG,17,9,395:16,23:15,90,5.3,33,83,39.8%,14,41,34.1%,10,15,66.7%,10,48,58,3.4,75,4.4,25,28,4,1,28,21,10,18148,2018,1
北海道,32,松島 良豪,PG,18,9,407:48,22:39,90,5.0,33,80,41.3%,6,13,46.2%,18,23,78.3%,8,12,20,1.1,91,5.1,30,11,1,2,45,23,7,9030,2018,1
三遠,4,寺園 脩斗,PG,19,10,338:13,17:48,90,4.7,29,90,32.2%,14,43,32.6%,18,23,78.3%,6,23,29,1.5,27,1.4,9,8,0,7,39,21,4,8680,2018,1
滋賀,8,二ノ宮 康平,PG,18,2,355:41,19:45,89,4.9,34,125,27.2%,13,71,18.3%,8,9,88.9%,1,19,20,1.1,69,3.8,29,12,2,5,39,17,4,8581,2018,1
大阪,1,今野 翔太,SF,17,11,360:05,21:10,86,5.1,32,75,42.7%,13,35,37.1%,9,12,75.0%,1,17,18,1.1,17,1.0,13,13,0,2,19,29,4,10817,2018,1
新潟,22,上江田 勇樹,SG/SF,19,13,389:39,20:30,86,4.5,32,101,31.7%,17,64,26.6%,5,8,62.5%,6,21,27,1.4,18,0.9,14,7,2,0,37,17,3,8481,2018,1
名古屋D,34,クレイグ・ブラッキンズ,PF/C,8,8,268:56,33:37,86,10.8,34,93,36.6%,14,45,31.1%,4,8,50.0%,9,39,48,6.0,15,1.9,6,6,6,4,20,14,12,8476,2018,1
京都,91,片岡 大晴,SG,14,0,255:59,18:17,84,6.0,33,72,45.8%,6,21,28.6%,12,13,92.3%,4,24,28,2.0,14,1.0,14,7,0,4,22,13,6,8492,2018,1
新潟,32,池田 雄一,SF,19,0,326:48,17:12,84,4.4,24,66,36.4%,24,64,37.5%,12,13,92.3%,4,33,37,1.9,10,0.5,8,13,3,1,29,15,5,12634,2018,1
川崎,33,長谷川 技,SF,19,19,432:16,22:45,84,4.4,29,66,43.9%,16,37,43.2%,10,13,76.9%,1,29,30,1.6,31,1.6,15,11,3,3,34,19,5,18444,2018,1
福岡,11,エリック・ジェイコブセン,PF/C,6,6,166:48,27:48,84,14.0,33,70,47.1%,6,15,40.0%,12,22,54.5%,9,34,43,7.2,12,2.0,14,0,2,5,18,20,13,8462,2018,1
京都,23,シャキール・モリス,C,5,5,146:04,29:12,84,16.8,32,59,54.2%,4,10,40.0%,16,22,72.7%,12,29,41,8.2,10,2.0,10,2,0,2,19,19,19,18397,2018,1
名古屋D,0,小林 遥太,PG,19,19,428:26,22:32,80,4.2,30,74,40.5%,9,20,45.0%,11,17,64.7%,11,28,39,2.1,90,4.7,11,21,0,5,34,21,9,8450,2018,1
A東京,51,ミルコ・ビエリツァ,PF,8,1,143:55,17:59,79,9.9,30,70,42.9%,4,15,26.7%,15,25,60.0%,16,21,37,4.6,2,0.3,5,4,1,5,15,24,9,8517,2018,1
SR渋谷,24,広瀬 健太,SF,16,6,319:42,19:58,77,4.8,25,67,37.3%,12,41,29.3%,15,20,75.0%,8,37,45,2.8,16,1.0,14,20,2,2,39,18,6,8642,2018,1
名古屋D,21,笹山 貴哉,PG,11,0,191:29,17:24,76,6.9,28,75,37.3%,14,38,36.8%,6,10,60.0%,2,19,21,1.9,42,3.8,20,14,0,3,21,7,7,9039,2018,1
福岡,0,遥 天翼,SF,19,5,313:02,16:28,76,4.0,27,63,42.9%,10,28,35.7%,12,18,66.7%,4,21,25,1.3,22,1.2,15,5,0,2,26,23,4,8496,2018,1
滋賀,35,伊藤 大司,PG,17,17,393:20,23:08,74,4.4,27,84,32.1%,10,32,31.3%,10,15,66.7%,2,25,27,1.6,76,4.5,18,12,0,4,27,28,6,8681,2018,1
栃木,21,橋本 晃佑,PF/C,19,0,214:04,11:16,74,3.9,27,63,42.9%,13,35,37.1%,7,8,87.5%,8,12,20,1.1,4,0.2,8,5,1,2,16,8,3,8515,2018,1
京都,9,綿貫　瞬,PG,15,3,263:43,17:34,73,4.9,29,50,58.0%,4,12,33.3%,11,12,91.7%,8,22,30,2.0,31,2.1,14,6,0,2,13,15,7,8468,2018,1
新潟,11,鵜澤 潤,PF,18,0,205:37,11:25,73,4.1,29,62,46.8%,11,30,36.7%,4,5,80.0%,7,13,20,1.1,6,0.3,3,1,1,1,19,5,4,9034,2018,1
千葉,5,田口 成浩,SG,18,1,232:34,12:55,69,3.8,27,68,39.7%,14,44,31.8%,1,2,50.0%,5,14,19,1.1,14,0.8,6,4,3,2,24,7,3,10878,2018,1
三河,16,松井 啓十郎,SG,19,1,208:00,10:56,69,3.6,26,71,36.6%,13,41,31.7%,4,5,80.0%,7,13,20,1.1,12,0.6,12,5,0,1,16,4,3,8587,2018,1
秋田,24,保岡 龍斗,SG,19,4,244:26,12:51,68,3.6,23,68,33.8%,13,37,35.1%,9,9,100.0%,6,15,21,1.1,17,0.9,9,6,0,4,40,13,3,8508,2018,1
琉球,1,橋本 竜馬,PG,19,0,309:02,16:15,67,3.5,20,41,48.8%,16,28,57.1%,11,12,91.7%,2,20,22,1.2,24,1.3,7,13,0,0,55,14,5,8658,2018,1
北海道,9,折茂 武彦,SG,18,0,227:36,12:38,63,3.5,23,87,26.4%,6,26,23.1%,11,14,78.6%,0,7,7,0.4,13,0.7,11,8,0,5,16,15,1,8590,2018,1
SR渋谷,32,山内 盛久,PG/SG,19,1,341:55,17:59,63,3.3,25,77,32.5%,9,34,26.5%,4,9,44.4%,18,17,35,1.8,65,3.4,13,11,0,4,31,15,5,8784,2018,1
三河,4,狩俣 昌也,PG,18,0,279:48,15:32,62,3.4,20,58,34.5%,18,49,36.7%,4,4,100.0%,2,7,9,0.5,29,1.6,5,4,1,0,38,10,3,8585,2018,1
