"","1Q.A","2Q.A","3Q.A","4Q.A","F.A","2POINTSFGM.A","2POINTSFGA.A","2POINTSFGR.A","3POINTSFGM.A","3POINTSFGA.A","3POINTSFGR.A","FREE-THROWSM.A","FREE-THROWSA.A","FREE-THROWSR.A","OFFENSIVEREBOUNDS.A","DEFENSIVEREBOUNDS.A","TOTALREBOUNDS.A","ASSIST.A","TURNOVER.A","STEALS.A","BLOCKS.A","FOULS.A","FASTBREAKPOINTS.A","BIGGESTLEAD.A","POINTSINTHEPAINT.A","POINTSFROMTURNOVER.A","SECONDCHANCEPOINTS.A","BIGGESTSCORINGRUN.A","1Q.B","2Q.B","3Q.B","4Q.B","F.B","2POINTSFGM.B","2POINTSFGA.B","2POINTSFGR.B","3POINTSFGM.B","3POINTSFGA.B","3POINTSFGR.B","FREE-THROWSM.B","FREE-THROWSA.B","FREE-THROWSR.B","OFFENSIVEREBOUNDS.B","DEFENSIVEREBOUNDS.B","TOTALREBOUNDS.B","ASSIST.B","TURNOVER.B","STEALS.B","BLOCKS.B","FOULS.B","FASTBREAKPOINTS.B","BIGGESTLEAD.B","POINTSINTHEPAINT.B","POINTSFROMTURNOVER.B","SECONDCHANCEPOINTS.B","BIGGESTSCORINGRUN.B","GAMEIDX","DATE","SHEDULEKEY","TEAM.A","TEAM.B","ISHOME.A","ISHOME.B","EX1.A","EX1.B","EX2.A","EX2.B","EX3.A","EX3.B"
"11","21","30","12","29","92","22","44","50%","11","17","64.7%","15","19","78.9%","12","25","37","23","11","5","2","14","10","29","36","13","10","12-0(75-51)","20","16","13","18","67","24","46","52.2%","4","18","22.2%","7","10","70%","12","17","29","17","14","6","0","20","12","4","36","11","13","6-0(11-15)",11,"10.29","1655","ñkäCìπ","ì»ñÿ",TRUE,FALSE,0,0,0,0,0,0
"12","14","21","21","21","77","23","48","47.9%","6","16","37.5%","13","16","81.3%","11","30","41","21","11","8","0","18","17","26","32","24","12","20-0(17-40)","14","3","15","19","51","16","32","50%","3","27","11.1%","10","13","76.9%","11","25","36","15","19","5","5","18","3","2","28","7","16","6-0(8-6)",12,"11.04","1688","ñkäCìπ","óÆãÖ",FALSE,TRUE,0,0,0,0,0,0
"13","17","14","21","19","71","22","42","52.4%","8","26","30.8%","3","5","60%","8","18","26","20","12","12","0","18","11","0","36","13","12","7-0(56-36)","24","32","26","16","98","23","35","65.7%","15","25","60%","7","16","43.8%","8","31","39","26","16","8","3","14","20","32","42","22","12","17-0(43-20)",13,"11.05","1689","ñkäCìπ","óÆãÖ",FALSE,TRUE,0,0,0,0,0,0
"14","15","21","14","17","67","19","50","38%","5","21","23.8%","14","15","93.3%","13","30","43","15","12","5","6","17","10","7","32","8","15","7-0(24-35)","25","19","14","19","77","19","50","38%","9","23","39.1%","12","16","75%","17","35","52","17","12","7","3","16","5","18","30","15","11","13-0(9-15)",14,"11.13","1690","ñkäCìπ","SRèaíJ",TRUE,FALSE,0,0,0,0,0,0
"15","19","21","10","10","60","18","45","40%","7","21","33.3%","3","5","60%","14","27","41","19","20","9","5","18","5","11","30","14","9","9-0(19-10)","13","18","11","24","66","15","40","37.5%","9","22","40.9%","9","9","100%","9","28","37","13","17","11","4","12","10","6","26","13","7","8-0(19-18)",15,"11.14","1691","ñkäCìπ","SRèaíJ",TRUE,FALSE,0,0,0,0,0,0
"16","18","23","23","17","81","21","46","45.7%","8","17","47.1%","15","17","88.2%","9","25","34","23","10","5","7","18","7","15","24","9","9","12-0(24-39)","16","14","21","25","76","24","56","42.9%","3","15","20%","19","20","95%","19","27","46","17","12","10","4","15","20","4","40","16","20","7-0(65-70)",16,"11.17","1708","ñkäCìπ","Aìåãû",FALSE,TRUE,0,0,0,0,0,0
"17","10","17","18","24","69","25","53","47.2%","2","12","16.7%","13","17","76.5%","14","15","29","16","14","10","4","15","8","1","34","13","16","9-0(52-45)","18","16","20","35","89","20","36","55.6%","12","20","60%","13","15","86.7%","7","26","33","25","16","8","7","20","10","20","32","16","8","10-0(23-10)",17,"11.18","1709","ñkäCìπ","Aìåãû",FALSE,TRUE,0,0,0,0,0,0
"18","15","16","21","23","75","22","47","46.8%","4","16","25%","19","28","67.9%","10","38","48","20","16","2","6","22","7","0","34","7","12","7-0(24-22)","22","17","18","25","82","20","45","44.4%","10","28","35.7%","12","20","60%","11","29","40","22","9","7","1","23","14","13","32","15","11","9-0(66-54)",18,"12.01","1742","ñkäCìπ","ìáç™",FALSE,TRUE,0,0,0,0,0,0
"19","19","14","22","33","88","28","53","52.8%","4","11","36.4%","20","26","76.9%","11","20","31","21","12","9","2","10","10","6","36","22","11","12-0(70-67)","27","19","22","16","84","31","48","64.6%","6","21","28.6%","4","7","57.1%","13","23","36","16","17","8","1","25","0","15","46","14","20","12-0(18-8)",19,"12.02","1743","ñkäCìπ","ìáç™",FALSE,TRUE,0,0,0,0,0,0
"20","25","11","25","15","89","26","54","48.1%","8","23","34.8%","13","24","54.2%","10","30","40","19","14","9","2","24","15","11","40","14","14","18-0(51-43)","22","21","9","24","92","24","44","54.5%","6","21","28.6%","26","33","78.8%","6","39","45","22","14","10","4","20","8","10","36","16","7","8-0(69-72)",20,"12.08","1744","ñkäCìπ","ñºå√âÆD",TRUE,FALSE,13,16,0,0,0,0
"21","19","25","19","16","79","23","52","44.2%","9","17","52.9%","6","13","46.2%","16","29","45","18","10","6","2","16","8","17","34","14","21","13-0(13-0)","14","18","20","17","69","15","33","45.5%","9","28","32.1%","12","17","70.6%","11","22","33","19","11","6","3","14","6","0","20","7","7","9-0(13-9)",21,"12.09","1745","ñkäCìπ","ñºå√âÆD",TRUE,FALSE,0,0,0,0,0,0
"22","24","24","17","16","81","24","54","44.4%","7","12","58.3%","12","16","75%","7","34","41","18","13","8","5","17","9","24","30","19","10","14-0(11-20)","19","8","18","23","68","20","47","42.6%","8","23","34.8%","4","8","50%","9","29","38","20","15","8","4","15","7","6","26","8","9","7-0(68-81)",22,"12.16","1774","ñkäCìπ","é†âÍ",FALSE,TRUE,0,0,0,0,0,0
"23","19","18","16","29","93","26","57","45.6%","7","24","29.2%","20","29","69%","20","22","42","22","9","9","1","19","19","7","40","18","13","8-0(4-11)","27","10","25","20","96","28","45","62.2%","9","21","42.9%","13","21","61.9%","11","30","41","23","16","4","4","22","10","13","40","11","12","16-0(20-11)",23,"12.17","1775","ñkäCìπ","é†âÍ",FALSE,TRUE,11,14,0,0,0,0
"24","22","11","15","25","73","18","42","42.9%","9","20","45%","10","13","76.9%","14","23","37","19","21","10","2","18","9","2","26","15","11","8-0(22-21)","29","16","25","27","97","29","46","63%","9","22","40.9%","12","22","54.5%","14","21","35","20","13","13","1","16","14","30","54","25","17","14-0(28-43)",24,"12.20","1780","ñkäCìπ","êÁót",TRUE,FALSE,0,0,0,0,0,0
"25","15","20","22","26","83","13","38","34.2%","6","19","31.6%","39","43","90.7%","17","22","39","14","15","4","3","17","3","7","24","11","18","7-0(41-39)","20","21","14","23","78","24","35","68.6%","6","24","25%","12","20","60%","9","21","30","19","16","11","4","32","12","10","42","21","9","7-0(17-10)",25,"12.23","1797","ñkäCìπ","â°ïl",FALSE,TRUE,0,0,0,0,0,0
"26","23","17","17","23","80","17","39","43.6%","7","19","36.8%","25","26","96.2%","10","23","33","21","16","7","2","22","6","8","26","12","11","9-0(48-51)","20","16","20","21","77","24","46","52.2%","3","15","20%","20","25","80%","10","24","34","24","14","9","2","22","12","6","36","14","10","11-0(26-23)",26,"12.24","1798","ñkäCìπ","â°ïl",FALSE,TRUE,0,0,0,0,0,0
"27","18","22","10","19","69","23","51","45.1%","5","16","31.3%","8","11","72.7%","8","28","36","21","10","12","3","12","13","10","30","16","9","6-0(35-25)","16","15","14","19","64","17","38","44.7%","8","25","32%","6","11","54.5%","11","34","45","14","18","5","2","15","4","2","30","6","8","6-0(50-49)",27,"12.29","1807","ñkäCìπ","éOâì",TRUE,FALSE,0,0,0,0,0,0
"28","19","12","21","17","69","20","41","48.8%","6","20","30%","11","13","84.6%","8","26","34","22","15","4","5","26","3","10","24","15","12","7-0(65-59)","13","16","23","14","66","16","39","41%","5","18","27.8%","19","28","67.9%","13","26","39","12","16","4","1","21","2","3","22","14","10","7-0(21-20)",28,"12.30","1808","ñkäCìπ","éOâì",TRUE,FALSE,0,0,0,0,0,0
"29","17","17","19","25","78","29","62","46.8%","2","16","12.5%","14","17","82.4%","19","25","44","20","9","9","6","22","13","17","52","15","16","6-0(21-16)","16","7","27","25","75","19","46","41.3%","4","17","23.5%","25","28","89.3%","13","29","42","15","13","4","4","18","2","3","36","8","9","7-0(42-32)",29,"1.20","1825","ñkäCìπ","êÏçË",TRUE,FALSE,0,0,0,0,0,0
"30","18","22","19","23","82","24","49","49%","9","24","37.5%","7","9","77.8%","12","25","37","26","14","8","3","28","17","5","32","18","18","10-0(30-29)","25","17","19","28","89","17","35","48.6%","8","22","36.4%","31","35","88.6%","8","29","37","22","14","7","3","15","10","9","32","21","10","10-0(75-83)",30,"1.21","1826","ñkäCìπ","êÏçË",TRUE,FALSE,0,0,0,0,0,0
"31","16","23","17","20","76","23","42","54.8%","5","16","31.3%","15","22","68.2%","11","18","29","21","10","2","1","14","2","4","42","4","10","7-0(33-25)","29","25","24","22","100","27","47","57.4%","12","19","63.2%","10","11","90.9%","9","23","32","32","6","6","2","23","10","26","38","16","8","8-0(62-39)",31,"1.27","1843","ñkäCìπ","ì»ñÿ",FALSE,TRUE,0,0,0,0,0,0
"32","20","15","17","28","80","20","40","50%","7","16","43.8%","19","21","90.5%","7","21","28","23","16","8","7","19","13","5","30","15","7","9-0(80-68)","18","24","33","20","95","32","59","54.2%","7","20","35%","10","15","66.7%","20","21","41","19","12","10","2","20","20","24","56","26","16","12-0(51-35)",32,"1.28","1844","ñkäCìπ","ì»ñÿ",FALSE,TRUE,0,0,0,0,0,0
"33","13","22","21","17","73","19","40","47.5%","6","21","28.6%","17","22","77.3%","12","26","38","19","9","6","7","20","7","6","30","13","12","7-0(65-63)","16","18","27","6","67","21","49","42.9%","4","13","30.8%","13","23","56.5%","15","28","43","12","12","6","0","21","6","6","38","2","14","7-0(40-45)",33,"2.03","1861","ñkäCìπ","Aìåãû",TRUE,FALSE,0,0,0,0,0,0
"34","14","14","20","13","61","18","46","39.1%","6","16","37.5%","7","8","87.5%","5","18","23","16","11","4","4","24","2","3","30","6","4","9-0(41-54)","26","20","23","21","90","28","51","54.9%","5","15","33.3%","19","29","65.5%","18","33","51","18","10","7","1","18","12","31","46","13","13","21-0(14-32)",34,"2.04","1862","ñkäCìπ","Aìåãû",TRUE,FALSE,0,0,0,0,0,0
"35","17","27","25","21","90","34","49","69.4%","3","12","25%","13","14","92.9%","11","32","43","25","16","9","2","13","17","29","40","15","14","14-0(23-37)","16","11","19","18","64","22","53","41.5%","4","18","22.2%","8","13","61.5%","16","13","29","14","13","13","1","10","8","2","34","21","15","7-0(36-58)",35,"2.09","1881","ñkäCìπ","SRèaíJ",FALSE,TRUE,0,0,0,0,0,0
"36","16","12","12","23","63","19","45","42.2%","5","20","25%","10","16","62.5%","11","22","33","20","13","8","7","15","5","2","32","15","8","8-0(63-51)","20","17","18","23","78","24","47","51.1%","7","18","38.9%","9","13","69.2%","13","31","44","21","17","8","0","17","11","20","36","9","14","13-0(59-40)",36,"2.10","1882","ñkäCìπ","SRèaíJ",FALSE,TRUE,0,0,0,0,0,0
"37","29","21","9","13","72","17","41","41.5%","10","19","52.6%","8","10","80%","8","29","37","22","18","7","7","19","12","21","26","8","4","7-0(18-35)","18","18","18","23","77","25","55","45.5%","4","20","20%","15","17","88.2%","16","25","41","20","10","10","5","15","11","8","46","10","18","12-0(54-57)",37,"2.16","1903","ñkäCìπ","êÏçË",FALSE,TRUE,0,0,0,0,0,0
"38","9","21","18","31","79","23","45","51.1%","7","24","29.2%","12","14","85.7%","12","26","38","24","13","8","2","17","6","4","38","14","11","9-0(62-53)","21","17","24","20","82","24","51","47.1%","6","18","33.3%","16","21","76.2%","14","26","40","24","9","8","4","16","12","18","42","12","16","17-0(17-4)",38,"2.17","1904","ñkäCìπ","êÏçË",FALSE,TRUE,0,0,0,0,0,0
"39","28","35","30","16","109","34","55","61.8%","9","15","60%","14","25","56%","7","24","31","30","8","14","5","18","23","38","42","24","10","10-0(55-31)","20","15","21","18","74","27","53","50.9%","2","9","22.2%","14","24","58.3%","13","26","39","17","19","7","1","22","5","6","42","11","16","6-0(0-6)",39,"3.05","1915","ñkäCìπ","êºã{",TRUE,FALSE,0,0,0,0,0,0
"40","20","19","24","26","89","31","44","70.5%","4","12","33.3%","15","20","75%","6","35","41","29","15","5","4","20","12","33","42","11","9","9-0(13-4)","13","16","9","22","60","16","53","30.2%","4","12","33.3%","16","24","66.7%","12","16","28","11","9","7","1","21","5","2","24","7","5","5-0(20-15)",40,"3.06","1916","ñkäCìπ","êºã{",TRUE,FALSE,0,0,0,0,0,0
"41","16","25","22","17","80","23","46","50%","9","23","39.1%","7","10","70%","12","24","36","30","14","10","6","13","14","2","32","13","11","9-0(27-19)","27","21","18","15","81","23","52","44.2%","10","19","52.6%","5","12","41.7%","18","27","45","18","13","9","2","14","7","18","34","22","18","19-0(22-4)",41,"3.11","1943","ñkäCìπ","éOâÕ",FALSE,TRUE,0,0,0,0,0,0
"42","22","23","16","19","80","24","43","55.8%","7","17","41.2%","11","14","78.6%","6","20","26","26","10","5","4","19","6","0","28","7","6","11-0(56-56)","32","20","19","24","95","32","53","60.4%","6","17","35.3%","13","17","76.5%","13","24","37","19","9","7","3","15","14","15","58","11","19","9-0(32-18)",42,"3.12","1944","ñkäCìπ","éOâÕ",FALSE,TRUE,0,0,0,0,0,0
"43","15","19","24","28","86","23","50","46%","8","23","34.8%","16","21","76.2%","11","22","33","16","11","11","2","24","7","3","40","12","12","9-0(77-88)","18","20","32","28","98","27","47","57.4%","7","20","35%","23","30","76.7%","13","33","46","23","15","5","6","18","12","20","40","14","17","13-0(58-75)",43,"3.17","1951","ñkäCìπ","ïxéR",TRUE,FALSE,0,0,0,0,0,0
"44","27","18","19","21","85","25","48","52.1%","6","21","28.6%","17","21","81%","9","28","37","26","11","12","3","14","9","17","36","15","7","8-0(31-20)","20","14","18","24","76","20","43","46.5%","10","25","40%","6","8","75%","12","30","42","12","21","6","4","20","6","1","36","8","8","8-0(78-76)",44,"3.18","1952","ñkäCìπ","ïxéR",TRUE,FALSE,0,0,0,0,0,0
"45","14","9","29","28","80","21","45","46.7%","7","17","41.2%","17","22","77.3%","11","23","34","20","14","7","2","21","2","0","32","12","15","11-0(61-56)","25","18","18","23","84","23","47","48.9%","5","17","29.4%","23","29","79.3%","13","25","38","17","12","8","3","23","10","24","42","16","9","11-0(30-14)",45,"3.24","1973","ñkäCìπ","Aìåãû",FALSE,TRUE,0,0,0,0,0,0
"46","26","20","18","23","87","28","39","71.8%","6","13","46.2%","13","18","72.2%","3","23","26","23","15","4","0","18","8","17","44","10","5","11-0(10-17)","21","13","23","24","81","24","44","54.5%","4","21","19%","21","25","84%","15","18","33","15","9","8","2","21","10","6","40","16","18","12-0(41-46)",46,"3.25","1974","ñkäCìπ","Aìåãû",FALSE,TRUE,0,0,0,0,0,0
"47","17","18","27","27","89","27","43","62.8%","4","22","18.2%","23","32","71.9%","10","28","38","28","13","12","2","12","15","29","44","28","11","9-0(82-53)","21","11","16","24","72","25","52","48.1%","5","15","33.3%","7","13","53.8%","12","25","37","19","20","8","3","27","17","7","46","15","8","7-0(89-72)",47,"3.28","1987","ñkäCìπ","SRèaíJ",TRUE,FALSE,0,0,0,0,0,0
"48","12","37","7","16","72","22","51","43.1%","3","13","23.1%","19","24","79.2%","11","26","37","27","20","7","0","28","21","0","38","10","4","19-0(31-35)","35","17","19","32","103","34","53","64.2%","5","15","33.3%","20","29","69%","9","28","37","28","11","13","5","20","27","31","66","30","8","15-0(56-76)",48,"3.31","1996","ñkäCìπ","êÁót",TRUE,FALSE,0,0,0,0,0,0
"49","10","24","20","34","88","30","52","57.7%","4","16","25%","16","18","88.9%","12","21","33","29","23","9","5","25","16","0","50","22","14","6-0(36-53)","31","22","22","31","106","37","62","59.7%","2","9","22.2%","26","36","72.2%","16","22","38","31","16","18","1","20","17","26","66","26","13","13-0(4-18)",49,"4.01","1997","ñkäCìπ","êÁót",TRUE,FALSE,0,0,0,0,0,0
"50","18","12","17","22","69","25","51","49%","3","13","23.1%","10","14","71.4%","12","25","37","20","12","6","6","19","2","4","36","13","5","6-0(62-59)","21","15","20","17","73","24","58","41.4%","4","16","25%","13","18","72.2%","20","25","45","18","11","9","2","23","2","9","38","8","19","6-0(10-8)",50,"4.07","2014","ñkäCìπ","ì»ñÿ",FALSE,TRUE,0,0,0,0,0,0
"51","20","19","17","27","83","22","39","56.4%","6","13","46.2%","21","26","80.8%","7","27","34","22","15","6","2","19","8","7","38","9","6","8-0(63-68)","19","19","21","18","77","28","48","58.3%","3","12","25%","12","20","60%","7","18","25","17","10","6","2","21","3","6","42","18","9","8-0(27-22)",51,"4.08","2015","ñkäCìπ","ì»ñÿ",FALSE,TRUE,0,0,0,0,0,0
"52","19","20","19","13","71","20","42","47.6%","7","19","36.8%","10","13","76.9%","14","18","32","15","16","9","5","17","7","7","28","23","10","11-0(56-54)","22","22","15","14","73","29","49","59.2%","2","11","18.2%","9","15","60%","14","19","33","18","18","11","0","17","2","9","50","17","23","7-0(15-15)",52,"4.14","2032","ñkäCìπ","ãûìs",TRUE,FALSE,0,0,0,0,0,0
"53","22","15","11","23","71","24","45","53.3%","3","9","33.3%","14","18","77.8%","7","25","32","16","14","2","2","16","6","11","34","10","12","9-0(33-22)","19","11","19","24","73","25","42","59.5%","5","19","26.3%","8","13","61.5%","8","21","29","23","11","7","2","18","5","3","44","15","9","11-0(39-41)",53,"4.15","2033","ñkäCìπ","ãûìs",TRUE,FALSE,0,0,0,0,0,0
"54","16","20","20","27","83","25","49","51%","6","16","37.5%","15","24","62.5%","8","19","27","25","8","10","2","19","10","4","34","12","10","7-0(25-27)","21","21","15","29","86","28","45","62.2%","6","16","37.5%","12","16","75%","8","30","38","24","13","4","3","20","6","11","46","6","11","10-0(11-17)",54,"4.21","2050","ñkäCìπ","ëÂç„",TRUE,FALSE,0,0,0,0,0,0
"55","16","20","12","28","76","25","55","45.5%","2","12","16.7%","20","25","80%","12","24","36","18","8","7","6","20","12","4","28","15","5","8-0(24-24)","18","21","22","20","81","22","49","44.9%","6","18","33.3%","19","26","73.1%","15","29","44","18","11","2","5","16","8","17","38","7","10","11-0(16-24)",55,"4.22","2051","ñkäCìπ","ëÂç„",TRUE,FALSE,0,0,0,0,0,0
"56","17","29","12","28","86","22","45","48.9%","12","32","37.5%","6","9","66.7%","17","20","37","22","15","10","2","23","13","5","32","26","14","10-0(39-43)","24","19","29","17","89","31","48","64.6%","2","14","14.3%","21","24","87.5%","11","27","38","21","16","7","1","20","9","14","56","9","14","15-0(58-48)",56,"4.28","2070","ñkäCìπ","êÁót",FALSE,TRUE,0,0,0,0,0,0
"57","19","19","20","26","84","26","44","59.1%","9","19","47.4%","5","6","83.3%","7","23","30","21","21","7","0","18","12","2","48","11","10","8-0(94-84)","26","17","22","32","97","28","53","52.8%","11","24","45.8%","8","12","66.7%","14","22","36","23","10","12","4","15","8","19","40","22","15","9-0(76-64)",57,"4.29","2071","ñkäCìπ","êÁót",FALSE,TRUE,0,0,0,0,0,0
"58","14","20","23","26","83","21","37","56.8%","9","19","47.4%","14","23","60.9%","7","18","25","33","13","8","3","15","3","5","32","14","5","9-0(27-32)","20","14","30","24","88","25","46","54.3%","8","14","57.1%","14","18","77.8%","11","24","35","25","15","5","2","22","8","11","38","13","9","9-0(49-40)",58,"5.02","2088","ñkäCìπ","SRèaíJ",FALSE,TRUE,0,0,0,0,0,0
"59","18","12","15","23","68","15","36","41.7%","8","22","36.4%","14","24","58.3%","8","19","27","14","10","9","2","12","6","9","22","16","2","9-0(9-0)","21","15","31","14","81","24","36","66.7%","9","27","33.3%","6","6","100%","10","33","43","18","17","3","2","21","4","22","40","18","14","10-0(37-56)",59,"5.06","2095","ñkäCìπ","êVäÉ",TRUE,FALSE,0,0,0,0,0,0
"60","16","17","15","26","74","20","43","46.5%","4","22","18.2%","22","29","75.9%","13","19","32","21","7","8","2","22","10","5","32","15","7","8-0(35-30)","16","14","27","15","72","21","31","67.7%","5","20","25%","15","24","62.5%","6","30","36","14","17","4","0","22","4","11","40","4","4","11-0(44-55)",60,"5.07","2096","ñkäCìπ","êVäÉ",TRUE,FALSE,0,0,0,0,0,0
"61","27","13","14","21","75","26","50","52%","6","21","28.6%","5","6","83.3%","10","31","41","16","14","6","5","19","6","17","34","14","12","7-0(78-69)","16","23","24","19","82","19","44","43.2%","9","28","32.1%","17","19","89.5%","13","27","40","10","11","7","4","11","3","17","28","10","12","15-0(33-35)",1,"9.30","1579","ìáç™","êVäÉ",FALSE,TRUE,0,0,0,0,0,0
"62","5","13","21","16","55","16","37","43.2%","6","23","26.1%","5","7","71.4%","10","26","36","13","21","7","4","16","6","0","26","5","9","10-0(62-39)","24","22","16","25","87","20","47","42.6%","11","18","61.1%","14","17","82.4%","9","29","38","20","12","9","3","14","12","33","36","14","9","15-0(20-2)",2,"10.01","1580","ìáç™","êVäÉ",FALSE,TRUE,0,0,0,0,0,0
"63","8","23","21","13","80","27","64","42.2%","4","14","28.6%","14","18","77.8%","16","39","55","15","9","8","3","23","15","9","36","10","14","8-0(8-5)","14","16","17","18","72","21","56","37.5%","5","18","27.8%","15","24","62.5%","12","34","46","14","11","5","4","19","5","8","24","8","6","11-0(8-16)",3,"10.07","1607","ìáç™","ì»ñÿ",TRUE,FALSE,15,7,0,0,0,0
"64","13","15","15","25","68","21","47","44.7%","5","13","38.5%","11","12","91.7%","10","27","37","11","17","7","3","20","6","2","30","10","8","8-0(19-20)","20","11","22","22","75","23","59","39%","3","7","42.9%","20","21","95.2%","12","25","37","15","11","7","3","15","8","12","40","12","12","9-0(28-40)",4,"10.08","1608","ìáç™","ì»ñÿ",TRUE,FALSE,0,0,0,0,0,0
"65","7","23","23","25","78","20","39","51.3%","6","17","35.3%","20","30","66.7%","9","33","42","15","16","6","5","23","3","10","34","13","11","8-0(34-31)","20","14","14","24","72","26","50","52%","3","21","14.3%","11","20","55%","15","24","39","17","11","7","4","24","6","16","46","15","7","14-0(70-66)",5,"10.14","1623","ìáç™","ëÂç„",FALSE,TRUE,0,0,0,0,0,0
