"","1Q.A","2Q.A","3Q.A","4Q.A","F.A","2POINTSFGM.A","2POINTSFGA.A","2POINTSFGR.A","3POINTSFGM.A","3POINTSFGA.A","3POINTSFGR.A","FREE-THROWSM.A","FREE-THROWSA.A","FREE-THROWSR.A","OFFENSIVEREBOUNDS.A","DEFENSIVEREBOUNDS.A","TOTALREBOUNDS.A","ASSIST.A","TURNOVER.A","STEALS.A","BLOCKS.A","FOULS.A","FASTBREAKPOINTS.A","BIGGESTLEAD.A","POINTSINTHEPAINT.A","POINTSFROMTURNOVER.A","SECONDCHANCEPOINTS.A","BIGGESTSCORINGRUN.A","1Q.B","2Q.B","3Q.B","4Q.B","F.B","2POINTSFGM.B","2POINTSFGA.B","2POINTSFGR.B","3POINTSFGM.B","3POINTSFGA.B","3POINTSFGR.B","FREE-THROWSM.B","FREE-THROWSA.B","FREE-THROWSR.B","OFFENSIVEREBOUNDS.B","DEFENSIVEREBOUNDS.B","TOTALREBOUNDS.B","ASSIST.B","TURNOVER.B","STEALS.B","BLOCKS.B","FOULS.B","FASTBREAKPOINTS.B","BIGGESTLEAD.B","POINTSINTHEPAINT.B","POINTSFROMTURNOVER.B","SECONDCHANCEPOINTS.B","BIGGESTSCORINGRUN.B","GAMEIDX","DATE","SHEDULEKEY","TEAM.A","TEAM.B","ISHOME.A","ISHOME.B","EX1.A","EX1.B","EX2.A","EX2.B","EX3.A","EX3.B"
"13","13","20","26","13","72","22","47","46.8%","4","14","28.6%","16","26","61.5%","15","25","40","16","20","12","8","20","22","11","38","21","6","10-0(46-35)","15","18","21","17","71","21","46","45.7%","6","16","37.5%","11","16","68.8%","10","24","34","17","17","11","3","24","8","6","36","19","7","8-0(7-8)",6,"10.20","3031","èHìc","ïüâ™",TRUE,FALSE,0,0,0,0,0,0
"14","19","16","17","21","73","17","41","41.5%","8","22","36.4%","15","18","83.3%","15","29","44","20","15","7","4","21","5","20","34","18","12","17-0(17-0)","7","17","16","13","53","18","43","41.9%","3","17","17.6%","8","16","50%","13","23","36","15","17","11","3","18","10","0","26","18","2","9-0(61-53)",7,"10.21","3032","èHìc","ïüâ™",TRUE,FALSE,0,0,0,0,0,0
"15","15","28","22","14","79","23","48","47.9%","8","27","29.6%","9","15","60%","15","25","40","28","6","11","4","13","10","16","38","27","13","17-0(27-35)","26","12","12","17","67","19","36","52.8%","8","17","47.1%","5","10","50%","4","30","34","25","19","5","4","17","7","15","28","5","4","7-0(22-7)",1,"10.06","3002","ì»ñÿ","ïüâ™",FALSE,TRUE,0,0,0,0,0,0
"16","19","19","25","19","82","20","40","50%","10","30","33.3%","12","16","75%","12","19","31","26","3","8","4","19","8","13","28","20","12","8-0(39-48)","15","21","18","19","73","20","34","58.8%","7","15","46.7%","12","17","70.6%","5","29","34","24","17","2","1","22","5","1","34","3","6","12-0(32-32)",2,"10.07","3003","ì»ñÿ","ïüâ™",FALSE,TRUE,0,0,0,0,0,0
"17","25","26","29","24","104","29","53","54.7%","12","22","54.5%","10","18","55.6%","14","25","39","23","7","8","2","23","14","26","46","23","16","10-0(27-18)","18","18","22","26","84","25","46","54.3%","6","16","37.5%","16","27","59.3%","11","25","36","20","15","5","4","15","10","3","42","5","13","9-0(9-12)",3,"10.12","3004","ì»ñÿ","ïxéR",TRUE,FALSE,0,0,0,0,0,0
"18","16","17","34","18","85","27","56","48.2%","6","16","37.5%","13","22","59.1%","11","24","35","24","4","9","2","20","21","14","44","18","12","8-0(63-52)","18","18","19","25","80","24","44","54.5%","5","21","23.8%","17","23","73.9%","14","29","43","22","12","3","0","19","8","8","34","7","18","12-0(73-75)",4,"10.13","3005","ì»ñÿ","ïxéR",TRUE,FALSE,0,0,0,0,0,0
"19","20","17","16","16","79","28","63","44.4%","3","9","33.3%","14","27","51.9%","18","32","50","17","10","6","3","24","5","8","42","8","11","8-0(69-73)","16","20","19","14","74","18","44","40.9%","8","23","34.8%","14","20","70%","10","30","40","19","9","5","3","21","6","7","24","13","2","7-0(49-43)",5,"10.17","3023","ì»ñÿ","Aìåãû",FALSE,TRUE,10,5,0,0,0,0
"20","15","18","24","13","70","18","47","38.3%","5","14","35.7%","19","25","76%","13","25","38","13","9","4","4","17","8","10","36","6","6","10-0(61-51)","22","17","12","21","72","24","46","52.2%","5","19","26.3%","9","11","81.8%","11","24","35","19","7","2","1","22","5","7","38","14","13","11-0(8-13)",6,"10.20","3033","ì»ñÿ","ñkäCìπ",TRUE,FALSE,0,0,0,0,0,0
"21","18","21","18","22","79","20","43","46.5%","6","21","28.6%","21","32","65.6%","17","19","36","21","9","9","4","10","10","9","28","16","18","11-0(79-70)","18","16","24","12","70","22","42","52.4%","7","15","46.7%","5","6","83.3%","6","25","31","25","16","3","2","26","2","4","32","10","7","7-0(50-54)",7,"10.21","3034","ì»ñÿ","ñkäCìπ",TRUE,FALSE,0,0,0,0,0,0
"22","14","24","11","22","71","24","49","49%","6","18","33.3%","5","5","100%","9","30","39","19","9","2","5","20","3","4","28","8","13","6-0(61-61)","13","26","13","21","73","27","52","51.9%","2","13","15.4%","13","17","76.5%","8","28","36","17","7","5","4","8","10","7","32","11","8","8-0(23-16)",1,"10.06","2992","SRèaíJ","Aìåãû",FALSE,TRUE,0,0,0,0,0,0
"23","18","23","22","16","79","23","41","56.1%","8","21","38.1%","9","15","60%","5","21","26","15","7","6","2","21","7","6","36","10","6","9-0(54-60)","17","23","22","25","87","24","42","57.1%","9","19","47.4%","12","15","80%","6","29","35","19","8","4","1","19","2","12","26","13","8","11-0(81-70)",2,"10.07","2993","SRèaíJ","Aìåãû",FALSE,TRUE,0,0,0,0,0,0
"24","19","16","17","15","67","21","51","41.2%","4","20","20%","13","15","86.7%","18","23","41","13","8","14","1","20","4","17","32","23","14","8-0(38-25)","9","16","21","20","66","19","40","47.5%","7","14","50%","7","14","50%","9","29","38","15","17","6","1","17","2","2","26","6","13","10-0(52-50)",3,"10.13","3008","SRèaíJ","ñkäCìπ",TRUE,FALSE,0,0,0,0,0,0
"25","16","14","16","11","57","18","41","43.9%","4","23","17.4%","9","14","64.3%","13","27","40","18","13","2","3","24","2","9","22","2","6","9-0(16-7)","18","23","18","17","76","24","51","47.1%","3","13","23.1%","19","26","73.1%","14","30","44","22","7","8","2","17","6","20","40","14","10","13-0(16-20)",4,"10.14","3009","SRèaíJ","ñkäCìπ",TRUE,FALSE,0,0,0,0,0,0
"26","19","5","20","14","58","14","39","35.9%","6","18","33.3%","12","18","66.7%","11","25","36","15","18","10","4","18","6","3","22","16","9","9-0(32-36)","20","16","10","17","63","20","48","41.7%","3","14","21.4%","14","21","66.7%","15","27","42","10","16","12","4","17","5","13","40","14","18","10-0(23-36)",5,"10.17","3024","SRèaíJ","èHìc",TRUE,FALSE,0,0,0,0,0,0
"27","10","20","17","17","64","18","42","42.9%","4","24","16.7%","16","20","80%","9","31","40","15","6","5","2","18","8","2","20","11","4","5-0(29-20)","20","16","29","9","74","21","46","45.7%","6","15","40%","14","22","63.6%","7","34","41","18","8","3","1","17","4","21","34","4","5","15-0(58-37)",6,"10.20","3045","SRèaíJ","éOâÕ",FALSE,TRUE,0,0,0,0,0,0
"28","18","8","20","25","71","15","41","36.6%","9","18","50%","14","16","87.5%","6","22","28","15","7","5","2","20","6","3","16","10","5","11-0(72-65)","17","20","17","22","76","21","47","44.7%","6","11","54.5%","16","21","76.2%","10","30","40","15","10","3","2","12","4","18","30","4","10","11-0(39-26)",7,"10.21","3046","SRèaíJ","éOâÕ",FALSE,TRUE,0,0,0,0,0,0
"29","13","26","13","21","73","27","52","51.9%","2","13","15.4%","13","17","76.5%","8","28","36","17","7","5","4","8","10","7","32","11","8","8-0(23-16)","14","24","11","22","71","24","49","49%","6","18","33.3%","5","5","100%","9","30","39","19","9","2","5","20","3","4","28","8","13","6-0(61-61)",1,"10.06","2992","Aìåãû","SRèaíJ",TRUE,FALSE,0,0,0,0,0,0
"30","17","23","22","25","87","24","42","57.1%","9","19","47.4%","12","15","80%","6","29","35","19","8","4","1","19","2","12","26","13","8","11-0(81-70)","18","23","22","16","79","23","41","56.1%","8","21","38.1%","9","15","60%","5","21","26","15","7","6","2","21","7","6","36","10","6","9-0(54-60)",2,"10.07","2993","Aìåãû","SRèaíJ",TRUE,FALSE,0,0,0,0,0,0
"31","17","12","21","27","77","25","52","48.1%","5","15","33.3%","12","14","85.7%","12","26","38","16","11","7","4","12","8","10","28","14","11","13-0(44-50)","13","21","14","21","69","26","48","54.2%","2","13","15.4%","11","13","84.6%","8","24","32","10","12","5","3","13","7","7","48","8","10","8-0(28-23)",3,"10.13","3014","Aìåãû","éOâÕ",FALSE,TRUE,0,0,0,0,0,0
"32","10","18","24","13","65","21","44","47.7%","4","17","23.5%","11","17","64.7%","9","34","43","14","11","8","3","14","11","20","34","15","6","8-0(33-48)","14","10","11","20","55","13","37","35.1%","7","20","35%","8","12","66.7%","3","27","30","10","10","7","1","14","2","7","22","9","8","11-0(53-62)",4,"10.14","3015","Aìåãû","éOâÕ",FALSE,TRUE,0,0,0,0,0,0
"33","16","20","19","14","74","18","44","40.9%","8","23","34.8%","14","20","70%","10","30","40","19","9","5","3","21","6","7","24","13","2","7-0(49-43)","20","17","16","16","79","28","63","44.4%","3","9","33.3%","14","27","51.9%","18","32","50","17","10","6","3","24","5","8","42","8","11","8-0(69-73)",5,"10.17","3023","Aìåãû","ì»ñÿ",TRUE,FALSE,5,10,0,0,0,0
"34","23","13","27","26","89","28","52","53.8%","8","23","34.8%","9","11","81.8%","12","30","42","23","5","7","2","19","9","22","46","15","9","9-0(85-65)","17","19","20","11","67","21","40","52.5%","3","20","15%","16","20","80%","6","27","33","15","10","3","4","9","5","2","38","4","1","11-0(34-36)",6,"10.20","3037","Aìåãû","êÏçË",TRUE,FALSE,0,0,0,0,0,0
"35","18","18","15","15","66","25","56","44.6%","4","14","28.6%","4","7","57.1%","11","33","44","15","10","11","5","15","23","23","38","21","8","9-0(64-41)","12","8","16","10","46","20","52","38.5%","0","8","0%","6","10","60%","9","31","40","9","15","6","6","11","4","2","28","9","6","6-0(38-26)",7,"10.21","3038","Aìåãû","êÏçË",TRUE,FALSE,0,0,0,0,0,0
"36","11","22","22","17","72","21","40","52.5%","4","22","18.2%","18","21","85.7%","12","23","35","15","16","10","3","14","12","6","40","13","10","11-0(24-18)","16","14","28","23","81","25","44","56.8%","6","16","37.5%","13","16","81.3%","7","25","32","24","16","8","2","17","19","16","44","18","11","11-0(61-77)",1,"10.04","2990","êÁót","êÏçË",TRUE,FALSE,0,0,0,0,0,0
"37","20","14","14","18","66","16","38","42.1%","7","27","25.9%","13","18","72.2%","12","23","35","13","9","8","3","18","5","21","28","10","13","9-0(19-9)","11","11","24","22","68","15","27","55.6%","10","26","38.5%","8","15","53.3%","7","31","38","21","18","4","3","20","6","2","30","5","4","13-0(39-40)",2,"10.06","2991","êÁót","êÏçË",TRUE,FALSE,0,0,0,0,0,0
"38","14","14","19","23","70","21","45","46.7%","4","15","26.7%","16","21","76.2%","12","25","37","11","11","9","4","13","5","13","32","21","13","13-0(66-53)","21","12","18","9","60","20","45","44.4%","5","15","33.3%","5","8","62.5%","9","25","34","16","16","6","4","19","12","10","34","7","3","6-0(38-45)",3,"10.13","3006","êÁót","éOâì",TRUE,FALSE,0,0,0,0,0,0
"39","27","18","21","7","73","24","53","45.3%","7","15","46.7%","4","7","57.1%","10","33","43","14","11","7","4","14","9","27","34","19","9","19-0(31-14)","14","13","12","17","56","20","37","54.1%","3","20","15%","7","12","58.3%","6","28","34","14","16","9","3","12","7","5","34","13","8","8-0(68-50)",4,"10.14","3007","êÁót","éOâì",TRUE,FALSE,0,0,0,0,0,0
"40","23","18","22","30","93","26","43","60.5%","8","20","40%","17","26","65.4%","10","36","46","30","15","7","3","16","13","30","42","10","12","11-0(23-41)","13","16","17","17","63","21","49","42.9%","4","20","20%","9","13","69.2%","9","25","34","17","13","10","0","26","16","4","38","19","12","8-0(19-23)",5,"10.17","3022","êÁót","ñkäCìπ",FALSE,TRUE,0,0,0,0,0,0
"41","25","27","24","22","98","24","46","52.2%","13","26","50%","11","18","61.1%","12","28","40","26","9","7","5","16","17","13","32","10","11","9-0(27-19)","19","23","24","24","90","24","42","57.1%","9","26","34.6%","15","21","71.4%","8","26","34","25","10","4","2","16","7","5","42","12","9","9-0(76-74)",6,"10.20","3035","êÁót","êVäÉ",TRUE,FALSE,0,0,0,0,0,0
"42","30","17","23","24","94","27","44","61.4%","10","27","37%","10","19","52.6%","15","23","38","23","7","8","2","14","15","11","40","18","22","7-0(70-61)","22","24","17","24","87","22","41","53.7%","11","24","45.8%","10","15","66.7%","12","21","33","14","14","5","4","18","8","0","44","3","15","5-0(25-19)",7,"10.21","3036","êÁót","êVäÉ",TRUE,FALSE,0,0,0,0,0,0
"43","27","15","22","14","78","15","34","44.1%","12","32","37.5%","12","20","60%","10","30","40","13","8","6","2","12","6","20","24","11","13","13-0(42-61)","19","13","14","27","73","23","45","51.1%","5","22","22.7%","12","13","92.3%","9","33","42","22","7","2","4","20","0","2","34","11","14","9-0(53-64)",1,"10.06","3000","êVäÉ","é†âÍ",FALSE,TRUE,0,0,0,0,0,0
"44","11","16","26","18","71","17","41","41.5%","7","25","28%","16","18","88.9%","8","27","35","14","12","7","3","14","14","5","32","14","4","11-0(54-45)","23","20","16","16","75","23","43","53.5%","8","26","30.8%","5","8","62.5%","12","31","43","25","15","6","5","17","11","22","20","14","11","12-0(35-13)",2,"10.07","3001","êVäÉ","é†âÍ",FALSE,TRUE,0,0,0,0,0,0
"45","28","13","24","19","84","23","43","53.5%","4","20","20%","26","35","74.3%","18","25","43","17","16","11","5","25","20","17","46","19","13","10-0(54-38)","17","16","17","24","74","20","45","44.4%","5","17","29.4%","19","29","65.5%","17","23","40","18","18","6","2","32","8","0","32","16","20","6-0(33-24)",3,"10.11","3012","êVäÉ","èHìc",TRUE,FALSE,0,0,0,0,0,0
"46","24","28","21","31","104","26","36","72.2%","8","23","34.8%","28","36","77.8%","8","25","33","29","16","7","3","23","11","16","46","10","8","7-0(14-6)","18","18","28","28","92","21","46","45.7%","8","21","38.1%","26","28","92.9%","13","19","32","18","12","11","3","31","12","2","34","20","13","7-0(16-15)",4,"10.12","3013","êVäÉ","èHìc",TRUE,FALSE,0,0,0,0,0,0
"47","16","18","10","17","61","18","45","40%","6","22","27.3%","7","10","70%","11","30","41","16","7","7","1","8","3","13","32","5","10","9-0(29-21)","17","8","12","11","48","18","40","45%","2","19","10.5%","6","7","85.7%","9","33","42","13","13","5","4","12","6","6","24","9","4","7-0(3-9)",5,"10.17","3027","êVäÉ","éOâì",TRUE,FALSE,0,0,0,0,0,0
"48","19","23","24","24","90","24","42","57.1%","9","26","34.6%","15","21","71.4%","8","26","34","25","10","4","2","16","7","5","42","12","9","9-0(76-74)","25","27","24","22","98","24","46","52.2%","13","26","50%","11","18","61.1%","12","28","40","26","9","7","5","16","17","13","32","10","11","9-0(27-19)",6,"10.20","3035","êVäÉ","êÁót",FALSE,TRUE,0,0,0,0,0,0
"49","22","24","17","24","87","22","41","53.7%","11","24","45.8%","10","15","66.7%","12","21","33","14","14","5","4","18","8","0","44","3","15","5-0(25-19)","30","17","23","24","94","27","44","61.4%","10","27","37%","10","19","52.6%","15","23","38","23","7","8","2","14","15","11","40","18","22","7-0(70-61)",7,"10.21","3036","êVäÉ","êÁót",FALSE,TRUE,0,0,0,0,0,0
"50","26","28","23","17","94","31","55","56.4%","5","17","29.4%","17","21","81%","16","31","47","21","9","5","3","15","11","20","56","12","20","8-0(10-4)","24","15","23","20","82","23","54","42.6%","10","23","43.5%","6","10","60%","14","22","36","15","8","3","3","16","19","2","34","8","17","6-0(57-45)",1,"10.06","2994","ïxéR","â°ïl",TRUE,FALSE,0,0,0,0,0,0
"51","34","27","23","17","101","30","48","62.5%","8","20","40%","17","22","77.3%","11","31","42","25","8","6","1","14","19","38","50","11","15","11-0(13-2)","12","18","21","26","77","32","65","49.2%","2","13","15.4%","7","9","77.8%","15","20","35","20","8","6","5","19","17","0","52","9","14","7-0(93-69)",2,"10.07","2995","ïxéR","â°ïl",TRUE,FALSE,0,0,0,0,0,0
"52","18","18","22","26","84","25","46","54.3%","6","16","37.5%","16","27","59.3%","11","25","36","20","15","5","4","15","10","3","42","5","13","9-0(9-12)","25","26","29","24","104","29","53","54.7%","12","22","54.5%","10","18","55.6%","14","25","39","23","7","8","2","23","14","26","46","23","16","10-0(27-18)",3,"10.12","3004","ïxéR","ì»ñÿ",FALSE,TRUE,0,0,0,0,0,0
"53","18","18","19","25","80","24","44","54.5%","5","21","23.8%","17","23","73.9%","14","29","43","22","12","3","0","19","8","8","34","7","18","12-0(73-75)","16","17","34","18","85","27","56","48.2%","6","16","37.5%","13","22","59.1%","11","24","35","24","4","9","2","20","21","14","44","18","12","8-0(63-52)",4,"10.13","3005","ïxéR","ì»ñÿ",FALSE,TRUE,0,0,0,0,0,0
"54","26","11","29","22","88","28","45","62.2%","6","15","40%","14","21","66.7%","8","31","39","28","14","8","1","14","16","12","48","10","9","10-0(14-22)","16","18","29","21","84","24","47","51.1%","9","24","37.5%","9","14","64.3%","10","20","30","22","11","10","6","17","16","8","34","19","9","9-0(32-32)",5,"10.17","3026","ïxéR","â°ïl",FALSE,TRUE,0,0,0,0,0,0
"55","15","29","22","24","90","24","55","43.6%","9","20","45%","15","20","75%","19","29","48","29","10","9","2","15","9","22","44","14","14","13-0(42-34)","26","11","22","12","71","14","27","51.9%","11","37","29.7%","10","14","71.4%","11","25","36","19","15","6","4","17","19","14","20","15","10","9-0(10-23)",6,"10.20","3041","ïxéR","ãûìs",TRUE,FALSE,0,0,0,0,0,0
"56","27","19","25","24","95","29","54","53.7%","10","18","55.6%","7","9","77.8%","13","30","43","22","10","9","2","18","12","33","52","25","17","12-0(85-54)","12","21","18","13","64","16","31","51.6%","6","26","23.1%","14","20","70%","7","21","28","15","13","6","1","13","4","0","26","5","4","7-0(67-51)",7,"10.21","3042","ïxéR","ãûìs",TRUE,FALSE,0,0,0,0,0,0
"57","24","15","23","20","82","23","54","42.6%","10","23","43.5%","6","10","60%","14","22","36","15","8","3","3","16","19","2","34","8","17","6-0(57-45)","26","28","23","17","94","31","55","56.4%","5","17","29.4%","17","21","81%","16","31","47","21","9","5","3","15","11","20","56","12","20","8-0(10-4)",1,"10.06","2994","â°ïl","ïxéR",FALSE,TRUE,0,0,0,0,0,0
"58","12","18","21","26","77","32","65","49.2%","2","13","15.4%","7","9","77.8%","15","20","35","20","8","6","5","19","17","0","52","9","14","7-0(93-69)","34","27","23","17","101","30","48","62.5%","8","20","40%","17","22","77.3%","11","31","42","25","8","6","1","14","19","38","50","11","15","11-0(13-2)",2,"10.07","2995","â°ïl","ïxéR",FALSE,TRUE,0,0,0,0,0,0
"59","10","26","17","27","80","24","43","55.8%","9","24","37.5%","5","11","45.5%","11","27","38","22","11","8","2","17","12","0","38","16","8","13-0(43-36)","31","14","21","18","84","22","34","64.7%","11","33","33.3%","7","10","70%","8","25","33","24","11","4","5","12","9","25","34","16","10","21-0(35-10)",3,"10.12","3016","â°ïl","ãûìs",FALSE,TRUE,0,0,0,0,0,0
"60","18","20","22","21","81","22","44","50%","10","28","35.7%","7","8","87.5%","15","22","37","20","10","5","2","18","12","3","30","11","12","7-0(76-75)","19","25","17","26","87","21","30","70%","11","28","39.3%","12","14","85.7%","5","25","30","27","11","6","3","15","0","9","34","5","5","9-0(19-13)",4,"10.13","3017","â°ïl","ãûìs",FALSE,TRUE,0,0,0,0,0,0
"61","16","18","29","21","84","24","47","51.1%","9","24","37.5%","9","14","64.3%","10","20","30","22","11","10","6","17","16","8","34","19","9","9-0(32-32)","26","11","29","22","88","28","45","62.2%","6","15","40%","14","21","66.7%","8","31","39","28","14","8","1","14","16","12","48","10","9","10-0(14-22)",5,"10.17","3026","â°ïl","ïxéR",TRUE,FALSE,0,0,0,0,0,0
"62","18","19","22","21","80","19","41","46.3%","10","20","50%","12","13","92.3%","8","25","33","24","12","8","2","14","12","12","32","13","10","12-0(14-2)","18","21","19","18","76","22","44","50%","8","33","24.2%","8","10","80%","22","21","43","26","13","7","4","18","7","4","32","6","9","7-0(14-9)",6,"10.20","3039","â°ïl","é†âÍ",TRUE,FALSE,0,0,0,0,0,0
"63","11","12","24","25","72","24","48","50%","2","15","13.3%","18","28","64.3%","14","15","29","12","6","14","0","14","10","2","40","26","14","9-0(56-66)","23","14","26","7","70","17","25","68%","10","22","45.5%","6","11","54.5%","6","28","34","22","24","2","2","23","4","24","24","5","8","8-0(5-16)",7,"10.21","3040","â°ïl","é†âÍ",TRUE,FALSE,0,0,0,0,0,0
"64","16","14","28","23","81","25","44","56.8%","6","16","37.5%","13","16","81.3%","7","25","32","24","16","8","2","17","19","16","44","18","11","11-0(61-77)","11","22","22","17","72","21","40","52.5%","4","22","18.2%","18","21","85.7%","12","23","35","15","16","10","3","14","12","6","40","13","10","11-0(24-18)",1,"10.04","2990","êÏçË","êÁót",FALSE,TRUE,0,0,0,0,0,0
"65","11","11","24","22","68","15","27","55.6%","10","26","38.5%","8","15","53.3%","7","31","38","21","18","4","3","20","6","2","30","5","4","13-0(39-40)","20","14","14","18","66","16","38","42.1%","7","27","25.9%","13","18","72.2%","12","23","35","13","9","8","3","18","5","21","28","10","13","9-0(19-9)",2,"10.06","2991","êÏçË","êÁót",FALSE,TRUE,0,0,0,0,0,0
